frame_id,file_path,file_base,file_exists,repID,camID,time,rank,score,head_x,head_y,head_score,middle_x,middle_y,middle_score,tail_x,tail_y,tail_score,centroid_x,centroid_y,size_px,x_dim,y_dim
frame437__s157143,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s157143_rank437.jpg,processed_rep67__cam6_s157143_rank437.jpg,FALSE,rep67,cam6,157143,437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame438__s157504,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s157504_rank438.jpg,processed_rep67__cam6_s157504_rank438.jpg,FALSE,rep67,cam6,157504,438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame439__s157864,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s157864_rank439.jpg,processed_rep67__cam6_s157864_rank439.jpg,FALSE,rep67,cam6,157864,439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame440__s158224,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s158224_rank440.jpg,processed_rep67__cam6_s158224_rank440.jpg,FALSE,rep67,cam6,158224,440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame441__s158585,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s158585_rank441.jpg,processed_rep67__cam6_s158585_rank441.jpg,FALSE,rep67,cam6,158585,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame442__s158945,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s158945_rank442.jpg,processed_rep67__cam6_s158945_rank442.jpg,FALSE,rep67,cam6,158945,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame443__s159306,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s159306_rank443.jpg,processed_rep67__cam6_s159306_rank443.jpg,FALSE,rep67,cam6,159306,443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame444__s159666,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s159666_rank444.jpg,processed_rep67__cam6_s159666_rank444.jpg,FALSE,rep67,cam6,159666,444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame445__s160027,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s160027_rank445.jpg,processed_rep67__cam6_s160027_rank445.jpg,FALSE,rep67,cam6,160027,445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
frame446__s160387,C:/R_projects/spat_1f_noise/processed_feed\rep67\processed_rep67__cam6_s160387_rank446.jpg,processed_rep67__cam6_s160387_rank446.jpg,FALSE,rep67,cam6,160387,446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1000,1000
