frame_id,file_path,file_base,file_exists,repID,camID,time,rank,score,head_x,head_y,head_score,middle_x,middle_y,middle_score,tail_x,tail_y,tail_score,centroid_x,centroid_y,size_px,x_dim,y_dim
frame1__s0,C:/R_projects/spat_1f_noise/processed_feed\rep35\processed_rep35__cam4_s0_rank1.jpg,processed_rep35__cam4_s0_rank1.jpg,FALSE,rep35,cam4,0,1,0.997958779335022,509.4442138671875,600.52557373046875,0.06130361557006836,554.18798828125,660.158447265625,0.04402792826294899,620.06085205078125,661.40081787109375,0.06037913262844086,639.1048273431994,558.1532769556026,5676,1000,1000
frame2__s361,C:/R_projects/spat_1f_noise/processed_feed\rep35\processed_rep35__cam4_s361_rank2.jpg,processed_rep35__cam4_s361_rank2.jpg,FALSE,rep35,cam4,361,2,0.9929379820823668,663.5498046875,571.00634765625,0.07152148336172104,590.5390625,620.5233154296875,0.05272598937153816,610.338623046875,671.2781982421875,0.06569644808769226,613.7802345961979,618.9146555211001,7417,1000,1000
frame3__s721,C:/R_projects/spat_1f_noise/processed_feed\rep35\processed_rep35__cam4_s721_rank3.jpg,processed_rep35__cam4_s721_rank3.jpg,FALSE,rep35,cam4,721,3,0.9975985884666444,743.89581298828125,608.057861328125,0.05801132321357727,679.31024169921875,588.22052001953125,0.05565524473786354,599.8201904296875,577.06201171875,0.0810806155204773,586.272271588061,666.6334016860333,4389,1000,1000
frame4__s1082,C:/R_projects/spat_1f_noise/processed_feed\rep35\processed_rep35__cam4_s1082_rank4.jpg,processed_rep35__cam4_s1082_rank4.jpg,FALSE,rep35,cam4,1082,4,0.9964478015899658,741.01104736328125,611.6396484375,0.06051766872406006,671.521484375,585.63531494140625,0.055800024420022964,598.3092041015625,579.44384765625,0.08690910041332245,588.3397666068223,665.7060143626571,4456,1000,1000
frame5__s1442,C:/R_projects/spat_1f_noise/processed_feed\rep35\processed_rep35__cam4_s1442_rank5.jpg,processed_rep35__cam4_s1442_rank5.jpg,FALSE,rep35,cam4,1442,5,0.997430145740509,741.276611328125,616.60833740234375,0.042988888919353485,673.83148193359375,586.6226806640625,0.04526792839169502,596.39453125,579.12628173828125,0.07199154794216156,588.3393685140207,664.3223669684257,4529,1000,1000
frame6__s1803,C:/R_projects/spat_1f_noise/processed_feed\rep35\processed_rep35__cam4_s1803_rank6.jpg,processed_rep35__cam4_s1803_rank6.jpg,FALSE,rep35,cam4,1803,6,0.9891315698623656,705.6663818359375,559.79119873046875,0.04243213310837746,667.2900390625,584.35882568359375,0.019284727051854134,599.20306396484375,579.4453125,0.07711431384086609,574.9214818266543,658.7197110904008,4292,1000,1000
frame7__s2163,C:/R_projects/spat_1f_noise/processed_feed\rep35\processed_rep35__cam4_s2163_rank7.jpg,processed_rep35__cam4_s2163_rank7.jpg,FALSE,rep35,cam4,2163,7,0.9940839409828186,744.9544677734375,598.4326171875,0.04901542887091637,676.496337890625,580.9498291015625,0.05761001259088516,598.08074951171875,578.4522705078125,0.05931287631392479,581.8954980172615,671.3988803358992,4287,1000,1000
frame8__s2523,C:/R_projects/spat_1f_noise/processed_feed\rep35\processed_rep35__cam4_s2523_rank8.jpg,processed_rep35__cam4_s2523_rank8.jpg,FALSE,rep35,cam4,2523,8,0.9976381063461304,839.145263671875,633.981201171875,0.03687740117311478,806.7021484375,595.641845703125,0.071143738925457,706.8768310546875,572.14361572265625,0.07032887637615204,593.898025195778,777.357848144365,5874,1000,1000
frame9__s2884,C:/R_projects/spat_1f_noise/processed_feed\rep35\processed_rep35__cam4_s2884_rank9.jpg,processed_rep35__cam4_s2884_rank9.jpg,FALSE,rep35,cam4,2884,9,0.99323707818985,857.97186279296875,572.15185546875,0.027014754712581635,933.742919921875,562.3575439453125,0.6703488826751709,983.42889404296875,566.0303955078125,0.043832357972860336,563.1698461538462,923.8587692307692,3250,1000,1000
frame10__s3244,C:/R_projects/spat_1f_noise/processed_feed\rep35\processed_rep35__cam4_s3244_rank10.jpg,processed_rep35__cam4_s3244_rank10.jpg,FALSE,rep35,cam4,3244,10,0.9874683618545532,790.7430419921875,570.33447265625,0.03503464534878731,878.97735595703125,563.05963134765625,0.029372621327638626,941.1142578125,559.4222412109375,0.1063334196805954,562.4515032679739,876.5474509803921,3825,1000,1000
