n_keypoints,frames,prop_kp,rep_id,toxic,sl,logsl,moved:cos_theta_pi,moved:cos_2theta,shape,scale,kappa1,kappa2,on_toxic,ava_mean_toxin,ava_switch_toxin,var_toxic_12,var_toxic_24,sl_mean_obs,sl_kurt_obs,prob_move_obs,n_valid_frames
249,1149,0.21671018276762402,1,-0.019364742315105727,0.005523699917134678,0.5261781457940656,-0.6927311360572804,-0.4127207744703054,0.8108540121376282,870.7061774539891,0.005116130476464087,0.5242743857119567,0.8835341365461847,0.47626731831561925,0.12298511101708814,0.06844138927026627,0.0972236063126096,42.657987053858236,30.405566144587215,0.04417670682730924,249
174,914,0.19037199124726478,3,-0.9233000930650138,6.095189510401745e-4,1.6944546115110257,-1.2351572173504572,-0.20047120992401124,2.0808458710039544,115.64028718686998,-1.2351572173504572,0.2051902046173496,0.8390804597701149,0.3543251902051718,0.0631669627142456,0.06132982719759579,NA,41.74532170176243,33.2567948175335,0.08045977011494253,174
472,1131,0.41732979664014147,4,-0.5310152824088262,0.001060555842407804,0.9711935493936473,-1.0881067932368123,-0.09133810502089953,1.345112301414492,527.7989030280846,0.31475535984923964,0.41012614357250976,0.4555084745762712,0.4138744845737385,0.2297775228515151,0.9105819960086673,0.9474944675089609,126.52805898202867,10.539040009261477,0.2669491525423729,472
208,1149,0.18102697998259357,5,-1.1032115892802143,0.0032390878313018037,0.6207410084242854,-1.6771958061501164,-0.8537024107591054,0.9767549472569057,-538.574588257062,0.0749361563791835,1.006267800141609,0.19230769230769232,0.2591663355097904,0.20307163738167477,0.1925412852484294,NA,257.3959489950101,2.685142364139256,0.3125,208
290,922,0.31453362255965295,6,0.7928575524562005,0.006690718992514772,0.09941642432421367,-2.080024581250054,-0.2904981574109447,0.4359808374238283,-175.2327532863222,-0.5913562715546383,0.3800572888926234,0.7379310344827587,0.5935989431587557,0.27758604601606063,0.8487578666863778,0.8392083048373548,342.225277175767,1.536132254615209,0.3931034482758621,290
761,1144,0.6652097902097902,8,-0.14043171129945403,0.003672192992598191,0.37420493697773916,-1.0465447781719281,-0.10920381683877593,0.6898685299839252,-442.2278973597019,-0.15724486939061233,1.1943022311173759,0.6123521681997371,0.47202337749582846,0.23426355742788485,0.7683422762787049,0.8938946425452567,223.7660931780825,4.069602340008894,0.24178712220762155,761
846,1153,0.7337380745880312,9,-1.3549051085776664,0.007035447125933731,0.26246136116134156,-3.0482489253143483,0.12312545470958942,0.5987215283988698,-160.56728421229357,-1.4321529317904815,1.217867059880244,0.12056737588652482,0.33658526505396,0.27282118209976447,0.08973135663714484,0.10493208782216658,416.5454704770847,1.1938011721078556,0.46217494089834515,846
751,1149,0.6536118363794604,10,-0.4581454976867109,9.051279058651463e-4,2.400493642054514,-1.814428299530282,-0.7365435042988113,2.8130537695859825,7295.75570646504,-0.7795607660817565,1.489589916777851,0.5033288948069241,0.5402109358445377,0.21847476202485533,0.8911511633631379,0.9273254436564292,395.86860484098054,1.941573818445132,0.5725699067909454,751
578,1131,0.51105216622458,11,-0.1856898444343513,0.003186141476115813,0.7525018738689843,-1.744681411458688,-0.5424417193163598,1.133094738599046,-543.5964310752214,-0.6170146317038294,1.0235321627796412,0.4826989619377163,0.44706093552411735,0.31948217630689735,0.2238117026100669,0.23565333551742293,282.7561011374932,2.331497012481766,0.4204152249134948,578
544,1149,0.4734551784160139,12,-0.37165653119725195,0.0036434248186115892,0.5238226012723786,-1.1375436399807883,-0.37702117918785527,0.8274253235967364,-491.13399881228946,-0.5437018609829395,0.3283423118584582,0.5404411764705882,0.46561848361636415,0.16048204803797436,0.6025528297852928,0.7821218938132369,188.86600360893397,4.089361338169025,0.2757352941176471,544
722,1154,0.6256499133448874,13,-0.22262646517092258,0.004228374990119136,0.734136898777184,-1.3663803794538087,-1.0133989156187062,1.032164368564605,-406.807943567905,-0.193555255327444,0.973528859965769,0.26454293628808867,0.4392669531346632,0.20813890719713124,0.13841319979878525,0.16470448362731932,168.35566858200403,4.7212177329017715,0.23407202216066483,722
96,160,0.6,14,0.2639145792807433,0.002806652525126921,1.4980527473183403,-1.821634182555736,-2.3408381905604494,1.9272175284586122,-668.9152874427187,-0.5804014352745834,0.9597353451099577,0.5,0.5355869060601498,0.3091837374590936,NA,NA,327.1126694294562,1.202572711705211,0.5,96
553,1117,0.495076096687556,15,-1.8697243466131548,0.004734914954604819,0.5712095015502037,-1.7344072249656906,-0.42196892814204084,0.8630494286301229,-292.9525982709507,-0.5469591557568396,0.7796636994337669,0.05605786618444846,0.27617215568578596,0.23588876331720887,0.21010492173408954,0.19645551466101252,220.880590829579,3.652119317721236,0.2911392405063291,553
568,1149,0.49434290687554394,16,0.8459654937893357,0.003992497049712609,0.4275742726312699,-1.199792909037118,-0.0600424618248372,0.7342801521040222,-388.46172267403955,-0.31137165761231256,0.8146716407527715,0.5316901408450704,0.601460241050292,0.22750433373434606,0.1770615269981062,0.22132307072446677,216.20769080857647,3.598780280600156,0.28169014084507044,568
564,1149,0.4908616187989556,18,-1.5732248736753167,0.006560091161152581,0.3029968094657863,-2.6987592033406687,-0.02818886877970644,0.5859167498152968,-171.6849684266567,-1.1894405253391085,1.1181378001099351,0.08865248226950355,0.34053777410966674,0.27300842586703156,0.17350689927749352,0.16878368881938388,384.87837770791555,1.902971016934765,0.36347517730496454,564
728,1144,0.6363636363636364,20,0.960764954478494,0.0017227536388749814,1.593187253052723,-1.3132380024326968,-1.7108770033355913,1.8694282566906049,1999.0805784451084,-0.24307379477939772,0.7656596022348228,0.7142857142857143,0.5619555694673262,0.180684470659415,0.141681683597729,0.18019352439313371,124.2523467460834,7.811602036297682,0.22527472527472528,728
424,914,0.4638949671772429,21,-0.3472746875730073,0.005051380798232897,0.4213798071967132,-2.249291787878911,0.11957979539001529,0.7598098356875591,-252.31854289743683,-1.1729335835330856,0.5147413450245735,0.3466981132075472,0.4367651815641311,0.24707451752240486,0.20269033748169366,0.24356520164498602,310.9073357212821,1.9268755366553203,0.4056603773584906,424
590,1144,0.5157342657342657,22,0.643361251978879,0.004213353924040971,0.7505636161026527,-1.7717067437370726,-0.06975462805474829,1.0367075656057976,-356.0778044521063,-0.5988097167263806,0.33023150908508403,0.35423728813559324,0.6144171174148872,0.14491036963099524,0.7009470707621189,0.7378319836360195,203.78576957328772,3.031549221357788,0.3050847457627119,590
459,1144,0.4012237762237762,23,-0.39195521519419146,0.0016429823650898265,0.9012800653034979,-0.5306491693487833,-1.2401952048028069,1.2731423764362375,351.4786567965126,0.11890101327738556,0.7418827057744739,0.5816993464052288,0.44655294262171424,0.23377460622967175,0.6609694504928856,0.8548729578638518,82.86912878127619,14.160986518816363,0.15250544662309368,459
812,1149,0.7067014795474326,24,-0.4181233757608332,0.005589253657304076,0.6411768576008068,-0.5611596948186885,-0.09065376672718561,1.0284760477444372,378.7457783278769,0.03785671128785961,0.161601963496937,0.42857142857142855,0.4454344057660174,0.15532279815594285,0.5542381707670964,0.8149225496681581,47.04821108656784,24.414214310262714,0.08374384236453201,812
894,1168,0.7654109589041096,31,-0.48263058344678694,0.005982809297056056,1.505043003539298,-0.13526177511633808,-0.12141435874990775,1.9626569318601068,65.21092034387989,0.03278810050608913,-0.12141435874990775,0.07606263982102908,0.3828625327349993,0.09890487871888667,0.2349844485914867,0.30116171484281934,21.473581774716454,72.15457419354348,0.035794183445190156,894
568,919,0.6180631120783461,32,-0.23099413665240615,0.00772827179246131,0.7134940445997898,-0.7383821686617192,-0.1444201060615058,1.125381670227025,205.917289534914,-0.0456130477864235,0.15748130920186737,0.647887323943662,0.6010272500001621,0.08283924331974751,0.3531428886966445,0.6469646903521716,32.73362378105712,35.06899697790549,0.03697183098591549,568
275,356,0.7724719101123596,33,-0.29487033847853944,0.006003361015366187,0.6756582906727221,-0.6275961024053129,-0.20752535261494995,1.0026316960635453,545.9323071224454,-0.1745129811859924,-0.1877241755854903,0.3236363636363636,0.4110616045390777,0.1502439679629358,0.23827262680872308,0.23334482723143984,41.745031973406896,32.31786352813277,0.07272727272727272,275
1004,1182,0.8494077834179357,34,-1.1231738027503135,0.0047607015661148685,2.2543205318524127,-0.5638905134412168,-0.23661467478143355,2.7467084965910233,46.75697108954915,0.21581582341130945,0.40109175448647255,0.018924302788844622,0.11497655156962759,0.014697508148718744,0.014781559820080621,0.009447744058434808,18.832766803669138,78.39057384635413,0.022908366533864542,1004
792,919,0.8618063112078346,35,-0.5436235889928427,0.009710457882190217,1.2400098142918234,-0.27793151898670054,-0.11577384992774062,1.83943349602787,52.68343357833979,-0.07252807355737775,-0.11577384992774062,0.37626262626262624,0.3828901774585915,0.16523250320787944,0.16427391152204623,0.18244615848190135,20.8880993197778,89.36779118309249,0.022727272727272728,792
726,919,0.7899891186071817,36,-0.3808393536923038,0.006890647553568167,1.6800266266396742,-0.20049254306020914,-0.502157097873599,2.261572833162944,59.542817885406336,0.08273703216219869,0.23573373270354114,0.3305785123966942,0.42204185727699844,0.1721006214531108,0.1868306893604447,0.20229645915476968,24.54430649118498,66.76089810760007,0.03581267217630854,726
435,700,0.6214285714285714,37,-0.21091732693438253,0.0057996681144389306,0.7389183946153608,-0.5202056867377901,-2.4042904787593806,1.0378381527905531,-547.011467176222,0.0015868297289075572,0.4301467983927316,0.1724137931034483,0.34856081546102746,0.19670939943788074,0.4528100653379879,0.4679606366583509,75.28560495901552,14.482707165284792,0.08505747126436781,435
990,1186,0.8347386172006745,38,-0.025732396724250182,0.00419257068625756,2.4236105539141053,-0.4587154020286452,-0.7214800859769828,3.051274035102479,33.36033190346404,-0.08552370100905032,0.42892024292699427,0.498989898989899,0.5074335028875518,0.08644950837135722,0.5665718270874309,0.6779185102764497,18.37237490804632,183.94226423166427,0.01919191919191919,990
