rep_id,beta,syn_id,cam_id,arena_id,mean_trt,var_trt,low_diet,high_diet,assemble_date,date_start,time_start,cat_pre_wt,date_end_camera,time_end_camera,cat_post_wt,cat_dead_cam_end,pupation_date,pupal_weight,pupated_cam_end,eclosure_date,sex,death_date,deformed_adult,notes,temperature,session_id,error,premature_camera_end,camera_cutoff,surv_time,RGR,pupated,eclosed,time_to_pupation,time_to_eclosure,adult_time,pupation_time,repID,area_herb,var_toxic_12,shape_1,scale_1,shape_2,scale_2,shape_3,scale_3,shape_4,scale_4,kappa1_1,kappa2_1,kappa1_2,kappa2_2,kappa1_3,kappa2_3,kappa1_4,kappa2_4,on_toxic,sl_mean_obs,ta_mean_obs,sl_kurt_obs,ta_kurt_obs,prop_explore,s1.less_toxic.est,s2.less_toxic.est,s1.less_toxic.se,s2.less_toxic.se,mean_toxic_conc,observed_dead
72,5,beta5_id17,11,11,1 mg/g,high_var,0 mg/g,2 mg/g,2023-12-04T05:00:00Z,2023-12-04T05:00:00Z,16:30:00,0.0634,2023-12-09T05:00:00Z,18:47:00,0.2534,0,2023-12-09T05:00:00Z,0.2185,1,2023-12-27T05:00:00Z,female,2024-01-07T05:00:00Z,0,NA,22,3,0,0,415925,34,0.011330288181359073,1,1,5,23,11,18,rep72,27344,0.0318962865893045,0.5231695632775811,29.912505114027873,0.7989393938930512,20.571989641058583,1.7994273870226634,2.061461918216616,1.8624144856371656,1.6832266062237948,-0.07628313361482958,0.7930164926786725,0.22418516957108725,0.220768619680125,0.711158236496192,0.27782665495877573,0.43541299642067655,0.3236701328597483,0.01636363636363636,12.798658424707122,0.01084188388273909,117.5251449226607,1.6211489077816024,0.7269201588166756,0.2936167555198889,-0.13831536381997292,0.5051481381235838,0.7181998856310225,0.19638677589233472,1
73,5,beta5_id22,12,12,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-12-04T05:00:00Z,2023-12-04T05:00:00Z,16:30:00,0.0638,2023-12-09T05:00:00Z,18:47:00,0.0816,0,NA,NA,0,NA,NA,2023-12-11T05:00:00Z,0,NA,22,3,0,0,439350,7,0.002012343505132757,0,0,NA,NA,NA,NA,rep73,3606,0.1175510427049553,0.5349841371272102,111.37247056423324,0.6975959806840626,114.08306339541684,0.9916548996169436,5.290696214359243,1.3034301685737533,3.737421044245086,0.30281744405208433,-0.01407655676184005,0.11769093727831476,0.37908076219345177,0.6075753768710311,0.321561023485037,0.395880869422399,0.3422755619264764,0.19545454545454544,23.226198945410015,-0.00456552907222957,85.51053289633795,1.5676754038784355,0.3304009781309353,0.7196909091223126,-0.7880034767344317,0.2193589291656625,0.5042888597154979,0.8474764281752634,1
74,0,beta0_id22,13,13,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-12-04T05:00:00Z,2023-12-04T05:00:00Z,16:30:00,0.0095,2023-12-09T05:00:00Z,18:47:00,0.0408,0,2023-12-20T05:00:00Z,0.2733,0,2024-01-07T05:00:00Z,male,2024-01-22T05:00:00Z,0,prepupal weight as pupa weight,22,3,0,0,439360,49,0.011918143242226694,1,1,16,34,15,18,rep74,17104,0.2105263251430579,1.916654816580564,516.4816178771781,1.841578318673772,504.10423556790863,1.0331496906787383,10.626638739119674,1.0859906867851363,9.76924407304823,-0.7351343730829387,0.2415684254945482,-0.4681211548410498,0.0451849996942661,0.44614581080583,0.12136478317325214,0.4778126114936028,0.09800038717839916,0.56884561891516,105.87883725345291,0.02688757001633188,8.446211908599233,1.5501851826424264,0.2860288127088653,-0.4394877030345174,0.05375217045210834,0.2060727832358116,0.1837772709842616,0.9886576239476146,1
75,0,beta0_id23,14,14,1 mg/g,high_var,0 mg/g,2 mg/g,2023-12-04T05:00:00Z,2023-12-04T05:00:00Z,16:30:00,0.0061,2023-12-08T05:00:00Z,10:00:00,NA,1,NA,NA,0,NA,NA,2023-12-08T05:00:00Z,0,NA,22,3,0,0,186338,4,NA,0,0,NA,NA,NA,NA,rep75,914,0.3200514812154441,0.32793487257675386,142.5153935726247,0.5831744693714984,103.00343144474618,3.2243781577443507,2.283567737222776,3.629684085404555,1.524068354808045,-0.3448718124490087,-0.9066963707525822,-0.6131086244017163,0.33578969969519723,0.22529353242670436,0.20776984085407352,0.62850780024166,0.5883196654928154,0.1945701357466063,21.82453122339216,-0.2141238292384661,55.566337455972565,1.571613967616012,0.2970493069470006,0.9474755983059576,-0.40202868051687823,0.578016784302533,0.44524437403481654,0.5382932166301969,1
77,0,beta0_id17,16,16,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-12-04T05:00:00Z,2023-12-04T05:00:00Z,16:30:00,0.0649,2023-12-09T05:00:00Z,18:47:00,0.0697,0,2023-12-11T05:00:00Z,0.2246,0,2023-12-27T05:00:00Z,female,2024-01-07T05:00:00Z,0,NA,22,3,0,0,437896,34,5.835030180436188e-4,1,1,7,23,11,16,rep77,8352,0.16294811933095502,1.043761571386316,33.13643728913488,1.0302142393335836,34.01360295933542,1.0702813467229986,8.006702551833001,1.1544119133755688,6.522840543741906,0.5835089236126473,0.3838416297081426,0.35580615830908263,0.1579436015756191,0.385194645710516,0.31923051341767766,0.31667833563046455,0.12481112951493314,0.55396370582617,15.682059503204336,0.06978506770417665,97.25283396665064,1.543060997331582,0.31190933532252213,-0.03781955816336781,-0.4922911661897945,0.16332627086192902,0.2232813605243429,0.6555316091954022,1
78,5,beta5_id23,17,17,1 mg/g,high_var,0 mg/g,2 mg/g,2023-12-04T05:00:00Z,2023-12-04T05:00:00Z,16:30:00,0.0346,2023-12-09T05:00:00Z,18:47:00,0.2499,0,2023-12-13T05:00:00Z,0.2811,0,2023-12-31T05:00:00Z,male,2024-01-13T05:00:00Z,1,NA,22,3,0,0,440800,40,0.016169064923897192,1,1,9,27,13,18,rep78,20164,0.16559109327520227,0.08845088845118321,-102.1936552742047,1.037900500358194,68.00465351793012,1.1777971012953554,5.69647315103198,1.4001880036753762,6.807970438170161,-0.3677827700239064,-0.334957254489447,0.05733215622759588,-0.08143713589757975,0.4683195323479774,0.30763616506938074,0.2522074170812854,0.2267622708115839,0.04946236559139785,20.674161073345275,0.04070663952054075,76.9431534394823,1.628764705320723,0.14039100358258327,NA,NA,NA,NA,0.11475897639357271,1
79,0,beta0_id18,18,18,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-12-04T05:00:00Z,2023-12-04T05:00:00Z,16:30:00,0.0662,2023-12-09T05:00:00Z,18:47:00,0.2692,0,2023-12-10T05:00:00Z,0.2319,0,2023-12-29T05:00:00Z,male,2024-01-07T05:00:00Z,0,NA,22,3,0,0,441151,34,0.011471507167732944,1,1,6,25,9,19,rep79,13005,0.11144709045768415,0.7894782892485253,84.39642087192209,0.8427658505688288,327.3515573215895,1.0248941946443535,8.96977956394578,1.467816938254364,5.1506304183951395,-0.05102343395747572,0.05400638390217421,0.30327873954982615,0.25298004002199825,0.2833127082012752,-0.0541925484317495,0.22395810090015256,0.19258379305910472,0.20773480662983423,15.406328323563883,0.088430879470666,147.06814493722823,1.6648477787598466,0.1116902971470548,0.570044886658471,0.433773818733305,0.38949857374866714,0.20742590797659932,0.7039215686274509,1
80,-5,beta-5_id19,19,19,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-12-04T05:00:00Z,2023-12-04T05:00:00Z,16:30:00,0.0135,2023-12-09T05:00:00Z,18:47:00,0.1293,0,2023-12-14T05:00:00Z,0.2199,0,2023-12-31T05:00:00Z,male,2024-01-17T05:00:00Z,0,NA,22,3,0,0,441158,44,0.01847713452637395,1,1,10,27,17,17,rep80,3096,0.070901118546503,0.8240772466673172,60.44584749402803,0.5840320260803079,-150.60367268838698,1.182678723663929,7.2023280278945485,1.6698514599684569,4.331809870981328,0.8146502877624091,0.18987241645390937,0.13779080843704927,0.02863013034459305,0.7194500876798406,0.07300665719730745,0.598448228269768,0.2969679509003261,0.13745019920318724,12.392235886355294,-0.04668232394462229,146.67415926245042,1.4264298682488137,0.0969476924803572,0.19341988349168376,0.4514691257942816,0.4510691299454799,0.3743929214518915,0.7070413436692506,1
81,5,beta5_id24,20,20,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-12-04T05:00:00Z,2023-12-04T05:00:00Z,16:30:00,0.0362,2023-12-09T05:00:00Z,18:47:00,0.2476,0,2023-12-11T05:00:00Z,0.2152,0,2023-12-27T05:00:00Z,female,2024-01-07T05:00:00Z,0,NA,22,3,0,0,441162,34,0.015723773384042922,1,1,7,23,11,16,rep81,11326,0.100909146360233,0.6721734093011401,81.58227379987444,0.6792038395427197,111.52844048976664,1.6576907178838631,3.922580918003355,1.3400884880672723,4.657283749705792,0.25674592769631727,-0.184465734586692,0.06786965471495826,0.07528062410367345,0.4558320923820124,0.41158841616398456,0.48291489446078434,0.2683584849343983,0.3333333333333333,16.72988846573437,0.05683064014429957,87.6887462353366,1.5063940161003266,0.1215880117418009,-3.30009017468633e-4,0.19931807148159544,0.29660749836952305,0.3807859832413322,0.6493024898463712,1
82,-5,beta-5_id20,21,21,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-12-04T05:00:00Z,2023-12-04T05:00:00Z,16:30:00,0.0291,2023-12-09T05:00:00Z,18:47:00,0.2168,0,2023-12-12T05:00:00Z,NA,0,NA,NA,2023-12-16T05:00:00Z,0,failed pupation,22,3,0,0,440794,8,0.016422819370762256,1,0,8,NA,NA,NA,rep82,17948,0.17328822793191354,0.5970922420617741,-373.522278580335,0.7998566130230512,169.49496261072946,1.1691054395929046,5.807075477220458,1.5540293344816742,4.079285600579921,-0.57389806988008,0.08933627443909986,-0.3210164057595483,0.3814741548799383,0.35189330403626623,0.3408628900940519,0.3318884250031353,0.3423981508254323,0.4471766848816029,21.365190125442,0.01097381235475524,49.865786723032564,1.6202207860105728,0.09435641731846472,0.13346400310904177,-0.03861086344950991,0.2935732743581923,0.15779688518901622,0.8073322932917316,0
