var,only,cat_size,exclude,val
var_high,area_herb_log_scale,2,NA,-0.25443033
beta_numeric_scale,mean_toxic_conc_scale,2,NA,0.18411449438848052
var_high,mean_toxic_conc_scale,2,NA,0.449427111435453
beta_numeric_scale,var_toxic_12_scale,2,NA,0
var_high,var_toxic_12_scale,2,NA,0
beta_numeric_scale,NA,2,NA,-0.493742439745289
var_high,NA,2,NA,-0.3182843823275939
beta_numeric_scale,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,0.5529899013558205
var_high,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,-0.7443728303452397
beta_numeric_scale,area_herb_log_scale,-2,ava_mean_toxin_scale,0
var_high,area_herb_log_scale,-2,ava_mean_toxin_scale,0.46742450999999996
beta_numeric_scale,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,-0.15587784266692953
var_high,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.2338332450416602
beta_numeric_scale,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
beta_numeric_scale,NA,-2,ava_mean_toxin_scale,0.397112058688891
var_high,NA,-2,ava_mean_toxin_scale,-0.04311507530357952
beta_numeric_scale,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,-0.6778569341337695
var_high,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,-0.5132811637630469
beta_numeric_scale,area_herb_log_scale,2,ava_mean_toxin_scale,0
var_high,area_herb_log_scale,2,ava_mean_toxin_scale,-0.25443033
beta_numeric_scale,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.18411449438848052
var_high,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.449427111435453
beta_numeric_scale,var_toxic_12_scale,2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,2,ava_mean_toxin_scale,0
beta_numeric_scale,NA,2,ava_mean_toxin_scale,-0.493742439745289
var_high,NA,2,ava_mean_toxin_scale,-0.3182843823275939
beta_numeric_scale,sl_mean_obs_log_scale,-2,NA,0.6104656392305425
var_high,sl_mean_obs_log_scale,-2,NA,-0.8487964374253394
beta_numeric_scale,area_herb_log_scale,-2,NA,0
var_high,area_herb_log_scale,-2,NA,0.52443078
