var,target,only,cat_size,exclude,val
var_high,var_toxic_12_scale,NA,2,NA,1.1575677726214895
beta_numeric_scale,select_scale,NA,2,NA,0.26037936000000006
var_high,select_scale,NA,2,NA,0.9153283200000001
sl_mean_obs_log_scale,RGR_scale,NA,-2,NA,-0.31870955999999995
area_herb_log_scale,RGR_scale,NA,-2,NA,0.1602
mean_toxic_conc_scale,RGR_scale,NA,-2,NA,-0.1631
var_toxic_12_scale,RGR_scale,NA,-2,NA,0
select_scale,RGR_scale,NA,-2,NA,-0.082264242842488
sl_mean_obs_log_scale,RGR_scale,NA,2,NA,-0.31870955999999995
area_herb_log_scale,RGR_scale,NA,2,NA,0.1602
mean_toxic_conc_scale,RGR_scale,NA,2,NA,-0.1631
var_toxic_12_scale,RGR_scale,NA,2,NA,0
select_scale,RGR_scale,NA,2,NA,-0.082264242842488
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,-2,NA,-0.4366915162145213
var_high,RGR_scale,sl_mean_obs_log_scale,-2,NA,0.667104417727159
beta_numeric_scale,RGR_scale,area_herb_log_scale,-2,NA,-0.0528676915910919
var_high,RGR_scale,area_herb_log_scale,-2,NA,0.08076243596664955
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,-2,NA,-0.005124552008327777
var_high,RGR_scale,mean_toxic_conc_scale,-2,NA,-0.004753983918381086
beta_numeric_scale,RGR_scale,var_toxic_12_scale,-2,NA,0
var_high,RGR_scale,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,RGR_scale,select_scale,-2,NA,0.04776233087947364
var_high,RGR_scale,select_scale,-2,NA,-0.04827599810492071
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,2,NA,0.2226088793937724
var_high,RGR_scale,sl_mean_obs_log_scale,2,NA,0.6311139937977401
beta_numeric_scale,RGR_scale,area_herb_log_scale,2,NA,0.026949956993089816
var_high,RGR_scale,area_herb_log_scale,2,NA,0.07640528552547068
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,2,NA,0.0472117518122501
var_high,RGR_scale,mean_toxic_conc_scale,2,NA,0.3851144081309508
beta_numeric_scale,RGR_scale,var_toxic_12_scale,2,NA,0
var_high,RGR_scale,var_toxic_12_scale,2,NA,0
beta_numeric_scale,RGR_scale,select_scale,2,NA,-0.047280508835726244
var_high,RGR_scale,select_scale,2,NA,-0.10326662998500759
beta_numeric_scale,sl_mean_obs_log_scale,NA,-2,NA,1.1222918848638286
var_high,sl_mean_obs_log_scale,NA,-2,NA,-1.714450239065817
beta_numeric_scale,area_herb_log_scale,NA,-2,NA,-0.24140498443420955
var_high,area_herb_log_scale,NA,-2,NA,0.36877824642305723
beta_numeric_scale,mean_toxic_conc_scale,NA,-2,NA,0.020279192751593858
var_high,mean_toxic_conc_scale,NA,-2,NA,0.0188127578883304
beta_numeric_scale,var_toxic_12_scale,NA,-2,NA,0.12032721992052367
var_high,var_toxic_12_scale,NA,-2,NA,1.1955730302250445
beta_numeric_scale,select_scale,NA,-2,NA,-0.35784423
var_high,select_scale,NA,-2,NA,0.36169272000000013
beta_numeric_scale,sl_mean_obs_log_scale,NA,2,NA,-0.5721021122826977
var_high,sl_mean_obs_log_scale,NA,2,NA,-1.621955287345817
beta_numeric_scale,area_herb_log_scale,NA,2,NA,0.12305916435200828
var_high,area_herb_log_scale,NA,2,NA,0.3488825823080853
beta_numeric_scale,mean_toxic_conc_scale,NA,2,NA,-0.1868292513345869
var_high,mean_toxic_conc_scale,NA,2,NA,-1.5239984492716694
beta_numeric_scale,var_toxic_12_scale,NA,2,NA,-0.2818357248528718
var_high,var_toxic_12_scale,NA,2,NA,1.1202736396423685
beta_numeric_scale,select_scale,NA,2,NA,0.35423433
var_high,select_scale,NA,2,NA,0.7736927200000001
sl_mean_obs_log_scale,RGR_scale,NA,-2,NA,-0.38910690000000003
area_herb_log_scale,RGR_scale,NA,-2,NA,0.219
mean_toxic_conc_scale,RGR_scale,NA,-2,NA,-0.2527
var_toxic_12_scale,RGR_scale,NA,-2,NA,0
select_scale,RGR_scale,NA,-2,NA,-0.133472407475939
sl_mean_obs_log_scale,RGR_scale,NA,2,NA,-0.38910690000000003
area_herb_log_scale,RGR_scale,NA,2,NA,0.219
mean_toxic_conc_scale,RGR_scale,NA,2,NA,-0.2527
var_toxic_12_scale,RGR_scale,NA,2,NA,0
select_scale,RGR_scale,NA,2,NA,-0.133472407475939
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,-2,NA,-0.5637905420361911
var_high,RGR_scale,sl_mean_obs_log_scale,-2,NA,0.8153878926191872
beta_numeric_scale,RGR_scale,area_herb_log_scale,-2,NA,-0.288625530577465
var_high,RGR_scale,area_herb_log_scale,-2,NA,0.4174276536880017
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,-2,NA,0.0027701534077814935
var_high,RGR_scale,mean_toxic_conc_scale,-2,NA,0.1331989430785738
beta_numeric_scale,RGR_scale,var_toxic_12_scale,-2,NA,0
var_high,RGR_scale,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,RGR_scale,select_scale,-2,NA,0.056349189187277396
var_high,RGR_scale,select_scale,-2,NA,-0.011713799136440446
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,2,NA,0.37706035921263337
var_high,RGR_scale,sl_mean_obs_log_scale,2,NA,0.6701949732063095
beta_numeric_scale,RGR_scale,area_herb_log_scale,2,NA,0.19303134430816657
var_high,RGR_scale,area_herb_log_scale,2,NA,0.3430979509400921
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,2,NA,0.036469110962863385
var_high,RGR_scale,mean_toxic_conc_scale,2,NA,0.192335483321827
beta_numeric_scale,RGR_scale,var_toxic_12_scale,2,NA,0
var_high,RGR_scale,var_toxic_12_scale,2,NA,0
beta_numeric_scale,RGR_scale,select_scale,2,NA,-0.08034078334348645
var_high,RGR_scale,select_scale,2,NA,-0.18159293830606485
beta_numeric_scale,sl_mean_obs_log_scale,NA,-2,NA,1.213249609606376
var_high,sl_mean_obs_log_scale,NA,-2,NA,-1.7546747748288603
beta_numeric_scale,area_herb_log_scale,NA,-2,NA,-0.6847580796618387
var_high,area_herb_log_scale,NA,-2,NA,0.9903384429134086
beta_numeric_scale,mean_toxic_conc_scale,NA,-2,NA,-0.015162306556001592
var_high,mean_toxic_conc_scale,NA,-2,NA,-0.7290582543983241
beta_numeric_scale,var_toxic_12_scale,NA,-2,NA,0.2224971327912062
var_high,var_toxic_12_scale,NA,-2,NA,1.108593810595997
beta_numeric_scale,select_scale,NA,-2,NA,-0.31538192000000004
var_high,select_scale,NA,-2,NA,0.06556120000000004
beta_numeric_scale,sl_mean_obs_log_scale,NA,2,NA,-0.8114154096316879
var_high,sl_mean_obs_log_scale,NA,2,NA,-1.4422267295688602
beta_numeric_scale,area_herb_log_scale,NA,2,NA,0.45796285719612473
var_high,area_herb_log_scale,NA,2,NA,0.8139927661686646
beta_numeric_scale,mean_toxic_conc_scale,NA,2,NA,-0.19961199213389919
var_high,mean_toxic_conc_scale,NA,2,NA,-1.052739372314324
beta_numeric_scale,var_toxic_12_scale,NA,2,NA,-0.5668938752954883
var_high,var_toxic_12_scale,NA,2,NA,1.0530890910050692
beta_numeric_scale,select_scale,NA,2,NA,0.44966096
var_high,select_scale,NA,2,NA,1.0163612
sl_mean_obs_log_scale,RGR_scale,NA,-2,NA,-0.46469459999999996
area_herb_log_scale,RGR_scale,NA,-2,NA,0.4215
mean_toxic_conc_scale,RGR_scale,NA,-2,NA,-0.1827
var_toxic_12_scale,RGR_scale,NA,-2,NA,0
select_scale,RGR_scale,NA,-2,NA,-0.17866968780987
sl_mean_obs_log_scale,RGR_scale,NA,2,NA,-0.46469459999999996
area_herb_log_scale,RGR_scale,NA,2,NA,0.4215
mean_toxic_conc_scale,RGR_scale,NA,2,NA,-0.1827
var_toxic_12_scale,RGR_scale,NA,2,NA,0
select_scale,RGR_scale,NA,2,NA,-0.17866968780987
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,-2,NA,-0.24633721241349
var_high,RGR_scale,sl_mean_obs_log_scale,-2,NA,0.3226521717748243
beta_numeric_scale,RGR_scale,area_herb_log_scale,-2,NA,-0.04065763865524982
var_high,RGR_scale,area_herb_log_scale,-2,NA,0.053253324103273075
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,-2,NA,0.0010188388342041617
var_high,RGR_scale,mean_toxic_conc_scale,-2,NA,-0.03897063617634538
beta_numeric_scale,RGR_scale,var_toxic_12_scale,-2,NA,0
var_high,RGR_scale,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,RGR_scale,select_scale,-2,NA,0.05250825580197146
var_high,RGR_scale,select_scale,-2,NA,0.015352064303172964
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,2,NA,0.1588147231576615
var_high,RGR_scale,sl_mean_obs_log_scale,2,NA,0.2232016951410627
beta_numeric_scale,RGR_scale,area_herb_log_scale,2,NA,0.026212164877628275
var_high,RGR_scale,area_herb_log_scale,2,NA,0.0368391514192015
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,2,NA,0.034337430227268706
var_high,RGR_scale,mean_toxic_conc_scale,2,NA,0.2678237762150946
beta_numeric_scale,RGR_scale,var_toxic_12_scale,2,NA,0
var_high,RGR_scale,var_toxic_12_scale,2,NA,0
beta_numeric_scale,RGR_scale,select_scale,2,NA,-0.05212296631929627
var_high,RGR_scale,select_scale,2,NA,-0.10034735993914862
beta_numeric_scale,sl_mean_obs_log_scale,NA,-2,NA,1.053146819038608
var_high,sl_mean_obs_log_scale,NA,-2,NA,-1.379410382342812
beta_numeric_scale,area_herb_log_scale,NA,-2,NA,-0.13174866706172986
var_high,area_herb_log_scale,NA,-2,NA,0.17256423883108576
beta_numeric_scale,mean_toxic_conc_scale,NA,-2,NA,-0.005622730873091411
var_high,mean_toxic_conc_scale,NA,-2,NA,0.2150697360725462
beta_numeric_scale,var_toxic_12_scale,NA,-2,NA,0.23770799940057707
var_high,var_toxic_12_scale,NA,-2,NA,1.4250434945484347
beta_numeric_scale,select_scale,NA,-2,NA,-0.40391167
var_high,select_scale,NA,-2,NA,-0.11809339000000002
