n_keypoints,frames,prop_kp,rep_id,sl,logsl,toxic:start_toxicno,toxic:start_toxicyes,moved:cos_theta_pi,moved:cos_2theta,shape,scale,kappa1,kappa2,on_toxic,ava_mean_toxin,ava_switch_toxin,ud_estimate,ud_lower,ud_upper,var_toxic_12,var_toxic_24,sl_mean_obs,sl_kurt_obs,prob_move_obs,n_valid_frames
497,1220,0.40737704918032785,74,0.0036123570499435103,0.6352746228509002,0.05863247304332256,0.4519303516505893,-0.7221957664612986,-0.03823556740710259,0.9644640119481735,-3442.610065482506,-0.7221957664612986,-0.03823556740710259,0.5352112676056338,0.5738286558111352,0.1981212741731462,1382196.7452818449,1263577.7428026288,1509547.8124276062,0.2383666934787383,0.24957843843560124,99.11349137567092,9.119163692227039,0.16498993963782696,497
928,1219,0.7612797374897456,77,0.006984794653589598,1.3480705037195135,0.7198031710645606,-0.010483020751124606,-0.2987445923279189,-0.2965628524701024,1.8769975924374616,66.02347425989001,-0.01652720553351522,-0.010567479324850082,0.5355603448275862,0.5521688498402946,0.13206726834599666,414541.78047051025,388295.2397748758,442065.63206149684,0.14979809063447014,0.1829856513091072,23.896516262997256,98.26860554380951,0.03556034482758621,928
852,1224,0.696078431372549,78,0.008713344481470969,1.6357099759583444,-1.0843532711173745,-0.9722326342985205,-0.39599514252931456,-0.1329260373959244,2.250942435299208,49.16785514220966,0.10602732058744391,0.025907285556361098,0.051643192488262914,0.13687937033909442,0.02069655554827569,407020.31178612384,380201.2221758419,435165.3871988236,0.16935045606755889,0.21228342121710564,21.18056171936259,82.63091016728985,0.025821596244131457,852
861,1225,0.7028571428571428,79,0.011382798875527107,2.5263489383182147,-1.5904341689475434,0.9163652821369827,-0.3184440789899652,-0.918849249213313,3.1904021656178894,32.635535601523316,-0.23768827867526696,0.4155212888663494,0.18931475029036005,0.44260995199684317,0.08815071529985598,445937.3684703318,416798.0727028703,476294.51322647976,0.09398515838582432,0.08960775863568847,15.805418522055557,150.83393001631427,0.018583042973286876,861
902,1225,0.7363265306122448,80,0.010456585115259666,0.9591590455555221,-0.20802224276017062,-0.005784337945482981,-0.23243429211213015,-0.20996336900621457,1.404713451961646,144.90565624934916,-0.17448211427252158,0.33480239180066607,0.14634146341463414,0.4482100452069865,0.1120702118617528,740635.6233126551,692691.4359726168,789533.8579004811,0.06988379088692569,0.0796398344421288,25.666368906959413,63.8848303371821,0.03215077605321508,902
868,1225,0.7085714285714285,81,0.007408367758356378,1.8263512736716159,-0.34615217486933036,-0.2901844896056377,-0.4254038438047038,-0.24046018008792586,2.3616878344534773,50.36442439969399,0.08205793971418945,0.02946966933516504,0.22235023041474655,0.5322003753994362,0.0824081086973778,444951.2943850334,415851.1816361015,474705.16106946743,0.12350988591930168,0.14964524858575562,19.631450050139676,79.3089030540311,0.027649769585253458,868
1083,1224,0.8848039215686274,82,0.016327125853243217,0.9116702617391793,0.23004138339465502,-0.21160164540185677,-0.33519102799974776,-0.13064653790264794,1.3738899985711432,238.35748452088865,-0.33519102799974776,-0.13064653790264794,0.4598337950138504,0.5165356035998051,0.14254468217761074,845651.2237781768,797322.8453594482,897584.9758241682,0.17481626682427712,0.21258285737555727,22.52332409421947,45.78253998550557,0.04524469067405355,1083
950,1225,0.7755102040816326,84,0.006542354630773854,0.837130115783196,-0.4719793659870726,-0.7705160767952042,-0.5647836717934214,-0.42376852819376193,1.21579369912182,315.62605103228725,-0.2778427762998695,0.24027560747543325,0.32842105263157895,0.3451741538303931,0.10666242202430692,881243.279519306,826370.2031324761,936812.8464423565,0.11217374758080177,0.14372917663187734,38.99965336027198,29.315556150626637,0.05894736842105263,950
753,1213,0.6207749381698269,92,0.013717547859820474,1.0713719475525356,-0.936205798777819,0.8560160540469756,-0.08287121099399726,-0.1639039259014466,1.6049990936925127,103.10031072174974,-0.016673994340211065,-0.1639039259014466,0.16865869853917662,0.1979335713292243,0.020680505011997176,496800.72112386755,461220.47425064247,533052.3515731795,0.2784141964526249,0.5461377421142989,22.779311662922503,67.28313919176952,0.034528552456839307,753
823,1213,0.6784830997526793,93,0.0052230061363484626,0.9183602672361608,-0.3435707738083941,-0.046188054550278364,-0.4406357926774589,0.0017390222853227839,1.2797010538993752,235.45451175119135,-0.09061568455791102,0.06578934747971234,0.46051032806804376,0.4836333381002382,0.14583929948413324,913452.2649970514,852130.5030253058,976854.9420258882,0.7724712706269585,0.8722189425139849,38.16509013234998,32.926502992235534,0.07168894289185905,823
785,1213,0.6471558120362737,94,0.010741193928790119,1.7879545778035286,0.6004068182723983,0.026310913485495212,-0.28004488527196264,-0.570558375000991,2.3323781538195067,48.35722417641672,-0.28004488527196264,0.6108197749726676,0.30828025477707005,0.37687046415285225,0.08106197577694892,296483.64462404884,276079.5665919037,317652.8316285179,0.49823335732426643,0.7111308907203802,17.32456105271396,104.50252016495624,0.030573248407643312,785
698,893,0.7816349384098544,95,0.007238518871594837,0.6138583407421601,-0.43036773990449895,-0.4709367278982039,-0.407662859137542,-0.19062900058550264,1.008143742920693,493.33464892291096,-0.015619441676562262,0.18637772933713714,0.10601719197707736,0.3577875181952684,0.12164293166657093,290454.5586297813,269469.9346981636,312627.6829971406,0.16390899099330564,0.14591751869027925,42.545027044786444,25.006621598622054,0.07593123209169055,698
364,1212,0.30033003300330036,96,0.005945794622953095,0.5304122363216729,-0.060151002859242964,0.021838936511859426,-1.5697879804588313,-0.1155714511867245,0.8241421033225172,-520.5725137052565,-0.8540012455341289,-0.1155714511867245,0.17307692307692307,0.46339086021461456,0.1584664957134096,862954.1422163898,776296.2061180865,953461.134123836,0.12562151188692713,0.13168135615780366,72.96429153381571,15.278864852329898,0.09615384615384616,364
617,893,0.6909294512877939,97,0.0036689352308026065,3.7259939421197252,-0.7630903107756855,1.0982743141507914,-0.8773402563141877,-0.025093076808119737,4.428806226140511,22.134918863319186,-0.010700356857973548,-0.025093076808119737,0.11021069692058347,0.4345711715386403,0.1334718339757589,197885.1345773409,182382.12028176786,213803.2133376595,0.33960302166603307,0.29176127794448714,14.386049600383302,79.9260184396675,0.019448946515397084,617
