rep_id,area_herb,mean_toxic
10,2771,0.5900396968603392
1,4472,0.587432915921288
101,3579,0.043028778988544285
103,391,0.319693094629156
105,20405,0.4269541778975741
100,16911,0.2855537815622967
104,20131,0.2683423575579951
102,24368,0.08416776099803021
106,1890,0.8005291005291005
107,6185,0.5338722716248989
108,13653,0.3675382699772944
110,331,0
11,16011,0.6782212229092499
109,14416,0.4507491675915649
111,6403,0.22177104482273935
112,14075,0.27957371225577266
116,13048,NA
117,7759,NA
119,2921,NA
118,1536,NA
113,9049,0.20919438612001326
114,4369,0.5387960631723506
121,3809,NA
115,16324,0.5322224944866454
120,9690,NA
12,609,0.17077175697865354
129,3741,0.6377973803795777
13,7841,0.35543935722484377
131,774,0.3682170542635659
130,8596,0.13599348534201955
132,4509,0.7879795963628299
133,3311,0.0691633947447901
134,5214,0.03298810893747602
135,7246,0.5513386696108198
136,2593,0.04319321249517933
137,3076,0.15474642392717816
139,10501,0.023235882296924103
140,4286,0.4360709286047597
138,5847,0.4775098341029588
14,574,0.9930313588850174
141,7696,0.150987525987526
142,12496,0.36411651728553135
144,11831,0.05950469106584397
146,6426,0.12091503267973856
143,9973,0.26381229319161736
147,14911,0.07833143317014285
145,5021,0.13682533359888469
148,99,1
149,21142,0.03760287579226185
153,21966,NA
15,1739,0.4629097182288672
155,8105,NA
152,10391,0.351457992493504
150,8319,0.5225387666786874
157,4264,NA
154,5395,0.12326227988878591
151,10134,0.23080718373791198
158,0,NA
156,3469,0.8547131738253099
16,1519,0.19157340355497038
17,1161,0.6089577950043066
19,178,0.07303370786516854
2,3366,0.5181224004753416
18,26206,0.3900251850721209
21,1179,0.18659881255301103
20,648,0.8487654320987654
25,9141,NA
28,3165,NA
29,3483,NA
22,13505,0.6133283968900407
26,13832,NA
27,1806,NA
23,3489,0.7360275150472915
24,3612,0.18632336655592469
30,7129,NA
3,2086,0.9324065196548418
31,5015,0.19720837487537388
33,1107,0.46522131887985546
34,1943,5.14668039114771e-4
32,2764,0.26881331403762665
35,16949,0.3643282789545106
37,6916,0.23366107576633893
36,24512,0.2896132506527415
38,7878,0.1848184818481848
40,8886,0.06684672518568535
4,15492,0.5909501678285567
39,19578,0.5003575441822453
42,14839,0.25769930588314577
41,17101,0.1380036255189755
44,6509,0.5046858196343524
45,17834,0.18055399798138388
46,690,0.36376811594202896
48,3774,0.01589825119236884
5,164,0.0975609756097561
47,11684,0.06829852790140363
50,22978,0.4143093393680912
49,25012,0.03406364944826483
56,489,NA
51,4274,0.43752924660739356
52,7635,0.06273739358218729
57,16441,NA
53,17220,0.21202090592334494
58,2365,NA
54,9581,0.2062415196743555
59,3801,NA
61,6701,NA
60,6999,NA
55,27116,0.40297241481044405
6,1298,0.36517719568567025
63,1188,0.31902356902356904
62,13362,0.2227211495285137
64,9309,0.5713825330325492
65,7604,0.16162546028406102
67,4394,0.44856622667273555
66,5371,0.3772109476819959
68,11439,0.2116443745082612
7,1851,0.6952998379254457
69,1803,0.08430393788130892
70,435,0.21379310344827587
71,4553,0.6360641335383264
73,3166,0.25679090334807325
72,27031,0.10103214827420369
74,17078,0.4903384471249561
75,927,0.25026968716289105
77,5545,0.2840396753832281
78,19739,0.05881756927909215
8,6161,0.5880538873559487
79,13005,0.20392156862745098
80,2756,0.20319303338171263
82,17931,0.3071775138029112
81,10828,0.1499815293683044
86,13769,NA
83,18255,0.15365653245686114
88,26896,NA
87,22591,NA
84,7060,0.7427762039660056
89,4771,NA
85,15791,0.3503261351402698
91,6,NA
90,5539,NA
9,3650,0.4383561643835616
92,3688,0.03036876355748373
93,4815,0.22284527518172378
94,4033,0.042648152739895855
95,16969,0.1957687547881431
96,1432,0.05656424581005587
98,3112,0.7079048843187661
97,11322,0.2920862038509097
99,18008,0.15792980897378944
