rep_id,beta,syn_id,cam_id,arena_id,mean_trt,var_trt,low_diet,high_diet,assemble_date,date_start,time_start,cat_pre_wt,date_end_camera,time_end_camera,cat_post_wt,cat_dead_cam_end,pupation_date,pupal_weight,pupated_cam_end,eclosure_date,sex,death_date,deformed_adult,notes,temperature,session_id,error,premature_camera_end,camera_cutoff,surv_time,RGR,pupated,eclosed,time_to_pupation,time_to_eclosure,adult_time,pupation_time,repID,area_herb,var_toxic_12,shape_1,scale_1,shape_2,scale_2,shape_3,scale_3,shape_4,scale_4,kappa1_1,kappa2_1,kappa1_2,kappa2_2,kappa1_3,kappa2_3,kappa1_4,kappa2_4,on_toxic,sl_mean_obs,ta_mean_obs,sl_kurt_obs,ta_kurt_obs,prop_explore,s1.less_toxic_end.est,s2.less_toxic_end.est,s1.less_toxic_end.se,s2.less_toxic_end.se,mean_toxic_conc,observed_dead
11,0,beta0_id4,11,11,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0031,2023-11-26T05:00:00Z,11:49:00,0.0068,0,2023-12-09T05:00:00Z,0.2413,0,2023-12-27T05:00:00Z,female,2024-01-07T05:00:00Z,0,NA,20,1,0,0,413766,47,0.00681185576549467,1,1,18,36,11,18,rep11,13770,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1967320261437906,1
12,5,beta5_id8,12,12,1 mg/g,high_var,0 mg/g,2 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.008,2023-11-26T05:00:00Z,11:49:00,0.0187,0,2023-12-09T05:00:00Z,0.2683,0,2023-12-29T05:00:00Z,female,2024-01-07T05:00:00Z,0,NA,20,1,0,0,413765,47,0.007363046528521795,1,1,18,38,9,20,rep12,619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3360258481421648,1
13,-5,beta-5_id6,13,13,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0027,2023-11-26T05:00:00Z,11:49:00,0.0023,0,NA,NA,0,NA,NA,2023-11-29T05:00:00Z,0,escaped and returned between s14058-s23068,20,1,0,0,415202,8,-0.0013904551242247102,0,0,NA,NA,NA,NA,rep13,8667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8804084458290065,1
14,-5,beta-5_id5,14,14,1 mg/g,high_var,0 mg/g,2 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0028,2023-11-22T05:00:00Z,11:31:00,NA,0,NA,NA,0,NA,NA,NA,0,replaced bc cat missing,20,1,stopped prematurely,1,65236,NA,NA,NA,NA,NA,NA,NA,NA,rep14,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8571428571428571,NA
15,-5,beta-5_id3,15,15,1 mg/g,high_var,0 mg/g,2 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0024,2023-11-26T05:00:00Z,11:49:00,0.0237,0,2023-12-06T05:00:00Z,0.2428,0,2023-12-23T05:00:00Z,male,2024-01-07T05:00:00Z,0,NA,20,1,0,0,411958,47,0.019858415760547934,1,1,15,32,15,17,rep15,1522,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6859395532194481,1
16,-5,beta-5_id2,16,16,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0027,2023-11-26T05:00:00Z,11:49:00,0.0115,0,2023-12-08T05:00:00Z,0.2678,0,2023-12-26T05:00:00Z,female,2024-01-07T05:00:00Z,0,NA,20,1,0,0,413762,47,0.012566225717811137,1,1,17,35,12,18,rep16,1503,0.12694422955454077,1.3319518109025883,58.06208686609135,2.421182381771317,2.1096245571146413,1.08113124122369,74.52786332838699,1.615124002741219,3.632147723321379,0.3065023428381658,0.3517455055347463,0.5013340712504897,-0.09514377538753804,0.00154645905963723,0.343479742190534,0.45062992224397336,0.17000366982595838,0.3184713375796178,21.527514163973414,-0.04121822376184404,57.737579774516014,1.4690583795701706,0.2289432684259307,-0.29029622370024516,1.0542364717733164,0.3175959769237601,0.6615221857126832,0.6942781104457751,1
17,5,beta5_id7,17,17,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0022,2023-11-26T05:00:00Z,11:49:00,0.0047,0,NA,NA,0,NA,NA,2023-12-06T05:00:00Z,0,NA,20,1,0,0,184176,15,0.006582787816318047,0,0,NA,NA,NA,NA,rep17,1161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1089577950043066,1
18,0,beta0_id3,18,18,1 mg/g,high_var,0 mg/g,2 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0025,2023-11-26T05:00:00Z,11:49:00,0.0218,0,NA,NA,0,NA,NA,2023-12-13T05:00:00Z,0,NA,20,1,0,0,413765,22,0.018779759253541452,0,0,NA,NA,NA,NA,rep18,26284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7889971085070766,1
19,-5,beta-5_id7,19,19,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0026,2023-11-25T05:00:00Z,14:12:00,NA,1,NA,NA,0,NA,NA,2023-11-25T05:00:00Z,0,NA,20,1,0,0,147053,4,NA,0,0,NA,NA,NA,NA,rep19,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5738636363636364,1
20,0,beta0_id7,20,20,1 mg/g,low_var,0.5 mg/g,1.5 mg/g,2023-11-20T05:00:00Z,2023-11-21T05:00:00Z,16:30:00,0.0036,2023-11-26T05:00:00Z,11:49:00,0.0042,0,NA,NA,0,NA,NA,2023-11-29T05:00:00Z,0,NA,20,1,0,0,411969,8,0.0013367597614735497,0,0,NA,NA,NA,NA,rep20,452,0.12829608917332125,0.3863458776793211,47.76525407685914,1.7065449816463192,2.199522796578687,0.5108739568454165,60.97997448670144,2.0593695586116354,2.2256914894175965,-1.0144638496385991,0.36257161647630715,1.292481759454705,0.35291690169596146,-1.629398568251288,0.18328133261697777,1.2362437247605431,0.03202321162829735,0.7522123893805309,15.132077420360996,-0.07843067231217946,102.76774999324506,1.5221657303628593,0.34926346921124857,0.22460869015070872,0.22551657845426792,0.37903694110395447,0.6413831326128034,1.3539823008849556,1
