rep_id,var_toxic_12,s1.less_toxic_end.est,s2.less_toxic_end.est,s1.less_toxic_start_f0.cos_theta_pi.est,s2.less_toxic_start_f0.cos_theta_pi.est,s1.less_toxic_start_f1.cos_theta_pi.est,s2.less_toxic_start_f1.cos_theta_pi.est,s1.less_toxic_start_f0.cos_2theta.est,s2.less_toxic_start_f0.cos_2theta.est,s1.less_toxic_start_f1.cos_2theta.est,s2.less_toxic_start_f1.cos_2theta.est,s1.less_toxic_start_f0.sl.est,s2.less_toxic_start_f0.sl.est,s1.less_toxic_start_f1.sl.est,s2.less_toxic_start_f1.sl.est,s1.less_toxic_start_f0.logsl.est,s2.less_toxic_start_f0.logsl.est,s1.less_toxic_start_f1.logsl.est,s2.less_toxic_start_f1.logsl.est,s1.less_toxic_end.se,s2.less_toxic_end.se,s1.less_toxic_start_f0.cos_theta_pi.se,s2.less_toxic_start_f0.cos_theta_pi.se,s1.less_toxic_start_f1.cos_theta_pi.se,s2.less_toxic_start_f1.cos_theta_pi.se,s1.less_toxic_start_f0.cos_2theta.se,s2.less_toxic_start_f0.cos_2theta.se,s1.less_toxic_start_f1.cos_2theta.se,s2.less_toxic_start_f1.cos_2theta.se,s1.less_toxic_start_f0.sl.se,s2.less_toxic_start_f0.sl.se,s1.less_toxic_start_f1.sl.se,s2.less_toxic_start_f1.sl.se,s1.less_toxic_start_f0.logsl.se,s2.less_toxic_start_f0.logsl.se,s1.less_toxic_start_f1.logsl.se,s2.less_toxic_start_f1.logsl.se,shape_1,scale_1,shape_2,scale_2,shape_3,scale_3,shape_4,scale_4,kappa1_1,kappa2_1,kappa1_2,kappa2_2,kappa1_3,kappa2_3,kappa1_4,kappa2_4,on_toxic,sl_mean_obs,ta_mean_obs,sl_kurt_obs,ta_kurt_obs,prop_explore
1,0.05477811058878575,1.137549301846548,141.9760941836106,-0.5142269416840789,0.5105937286220512,-0.10669162160603564,0.304866825707989,-0.2924266022436639,0.5053862905997278,0.11367483220495,0.3747424584367574,-0.00763306801449275,-3.4877404001130623,0.06811158015637823,-3.5817168994707953,-0.03426018594331265,23.278909862363765,-0.14474087245010503,28.827266290330247,0.975384145341397,2034.464504840943,0.15709767411159925,0.30115171413163555,0.580259851317201,1.116032583076417,0.15221233167814496,0.2952927338289412,0.6030541616105085,1.2729524179602387,0.01488495762962201,0.789792570562595,0.01798143230331543,3.246830737992151,0.07866628048610867,5.265915031040092,0.2840895089561617,25.880143346871684,0.6195760053950323,14.621663764864572,23.93274605370211,0.2818092944277379,0.50909531888824,-135.99931188730363,29.481102481668593,0.2745385657796733,0.1786840656540637,-0.08439519814173865,1.2035047359601938,0.7134176947016531,0.586219385732107,0.3217062363068752,0.9977778330461315,0.5827738625386827,0.8789237668161435,10.821284128180382,0.3093866453166073,26.456731698675338,1.4638191126254902,0.6458167832959222
3,0.03191177362036162,1.00368669793802,-10.837747588881308,0.5269839689953338,0.1927723338447636,-1.121924908694349,0,-0.5499803362946603,-0.12519996912110115,0.2583377431954778,0,0.00292943493601245,-0.30404067280578806,0.01176432243541207,0,0.5661500452852286,1.0459650558152886,0.4227561517484626,0,0.47010008039149737,220.82041441379377,0.524564488984809,0.1349500011810849,0.2657074123510121,0,0.4387411944306345,0.13692103790302038,0.29636604726283555,0,0.00262241821771089,0.02543728727537253,0.00234451379291447,0,0.218852981274762,0.0968819684314864,0.13057878618448585,0,0.9886664276530366,94.766406505753,1.4684814381830966,3.149384401356442,0.8452725341162706,582.2840003439484,0.422516382367808,74.17463586403368,0.8036068784460961,-0.17644292066128586,0.46939524329552584,0.24833744651227324,-0.8453019992435868,0.6318751588288523,0.27662290945076223,0.3735374156333744,0.8366336633663366,31.628935771042443,-0.09815467282679063,19.558478831313465,1.6597308224727054,0.17024396049826057
8,0.6232788089912831,-0.9615428916736954,-0.5252299770593281,-0.08490945735327395,0.02284643817800608,-0.2673593835086751,-0.3209497840119937,0.10797950075333856,-0.07313517881621064,-0.01952211333317342,-0.11421303073830014,0.01331942003687577,-0.34471156567149674,0.01864818364155568,-0.24061991964086865,0.24764392992358192,1.7441294825717737,0.06868789041920767,1.6563836693166147,0.31242776924291044,0.41295710620114173,0.17092447220520737,0.08837102787149771,0.28942808856521,0.15280208967093806,0.183563742145474,0.08955298820086606,0.2963109599261004,0.15998996498013024,0.00303327110287445,0.0344650715057147,0.00564171550375308,0.04527645934267374,0.11344605997645718,0.19078489788198943,0.18367536308531232,0.3335579103080166,0.8367244954145043,65.73850500723813,2.3332100480626963,2.6792213504392683,0.6577684559101301,101.18363269282216,2.245464234807537,3.715384810096938,0.3320259016674217,0.3575238973659282,0.4397817971987017,0.17640921779637905,0.1495759755120205,0.23002228327941623,0.09598557500870192,0.1353313658742895,0.6879084967320261,20.716332046708903,-0.1692404411791889,55.77247638763094,1.568608062310641,0.3053346425997556
16,0.12694422955454077,-0.29029622370024516,1.0542364717733164,-0.24864401886091503,-0.05381229044859111,-0.5535999026394436,-0.1045164394551075,0.14301275742575786,-0.3038765234965265,0.13474699408154556,-0.03872907828303006,0.00642865016926679,-0.45036640073573,0.01023379247759555,-0.2516676055419026,0.8187548374316018,1.9079854083003307,0.5679342677527034,1.1019270292702326,0.3175959769237601,0.6615221857126832,0.27329675111133783,0.1971626707361674,0.2735876774962059,0.1059945033070022,0.2925621652631567,0.18721045893348165,0.2991645319883277,0.10687090144165248,0.00353707899187539,0.09097051035778768,0.00496425162438639,0.03077621073679461,0.27779426900420695,0.4165887508965294,0.26794156011549886,0.15127875559977663,1.3319518109025883,58.06208686609135,2.421182381771317,2.1096245571146413,1.08113124122369,74.52786332838699,1.615124002741219,3.632147723321379,0.3065023428381658,0.3517455055347463,0.5013340712504897,-0.09514377538753804,0.00154645905963723,0.343479742190534,0.45062992224397336,0.17000366982595838,0.3184713375796178,21.527514163973414,-0.04121822376184404,57.737579774516014,1.4690583795701706,0.2289432684259307
20,0.12829608917332125,0.22460869015070872,0.22551657845426792,-1.4673182114437129,0.8396273976495909,-2.0822529300564017,0.7833893629554295,-0.3999732341542614,-0.4096279489346071,-0.5792635180135908,-0.7305216390022712,0.00559918989892951,-0.4281091614735182,0.01013608406516588,-0.42276365823575224,-0.0120049792386379,1.3081941247283602,0.11252309992745745,1.6610187016936762,0.37903694110395447,0.6413831326128034,0.14943534084804266,0.12104395793379846,0.3967996434014718,0.21165974382185937,0.13932004763074618,0.10280917093442958,0.2856006297385811,0.1709690588591509,0.00223609367286297,0.04160517900601478,0.00275720192337775,0.06822295923475188,0.03302710663012957,0.1280540247682795,0.08198414641025487,0.2743910172965181,0.3863458776793211,47.76525407685914,1.7065449816463192,2.199522796578687,0.5108739568454165,60.97997448670144,2.0593695586116354,2.2256914894175965,-1.0144638496385991,0.36257161647630715,1.292481759454705,0.35291690169596146,-1.629398568251288,0.18328133261697777,1.2362437247605431,0.03202321162829735,0.7522123893805309,15.132077420360996,-0.07843067231217946,102.76774999324506,1.5221657303628593,0.34926346921124857
23,0.4612302584441827,-0.21343197072767708,-0.25443254131157866,-0.695081760619756,0.08924377264940377,-0.5619385445600427,-0.08945455843812859,0.8145982681831605,-0.27931937882851215,0.29008963950211203,-0.05325130077901799,-0.02376970223255482,-0.1632940642025849,-5.598431795314616e-4,-0.18859774294348344,3.0535863454497987,0.7230608069190548,1.844350622965507,1.2541413914661843,0.3672192742432841,0.28724248357830423,0.2952468929448489,0.13611421025670437,0.25310319696623823,0.1674718938207296,0.3766503005520844,0.12896152259404506,0.28791172273536175,0.1756592179415938,0.01487045358105534,0.02804227411693875,0.00401274714921156,0.03910170268364555,0.9566662965834052,0.1549375535935419,0.4150689311741058,0.29660401837025935,3.682499958265947,19.210509515592747,1.3519744197352033,5.219773281685352,2.473264235781655,34.66807623513671,1.8830550042823329,4.6107834630317,-0.3118018700264631,1.0723659883846606,0.4725236632426967,-0.02155165862701208,-0.17865865396674974,0.547857359703612,0.2938253321551643,0.20451641942248208,0.5852417302798982,22.24633641904403,-0.2240609826153616,107.13777769821242,1.6354619975190068,0.19461097599927035
24,0.4580913996851408,-0.06178625173325341,0.09088808273553271,-0.542119889230931,0.10096205442405476,-1.05687864410673,-0.0905194615793308,0.00758845705080427,-0.00626179611485056,-0.2383078978694692,-0.0529472084682174,0.0093817400293867,-0.21247208161234568,0.0100000025678157,-0.14708784076891715,0.1898472598095935,1.1421390488645329,0.0985246027959798,0.905329881991176,0.2562439217963262,0.30017071611182544,0.21047991102801705,0.08737102061440394,0.21050067712992507,0.07904930557308075,0.22025207921459208,0.08736304552340168,0.206509035213372,0.08066092344455884,0.00126258037022778,0.01116802830931738,0.00170471129379986,0.00789550753663665,0.07971194242986211,0.06462397743276346,0.07065290215519185,0.05386005321484137,0.6302521017163993,182.60451635365104,1.5825438907713387,4.398888819611748,0.5389294447027857,205.84376991544912,1.345734723897982,6.174901747679308,-0.02665842548241004,0.2873278657896325,0.6164235181725757,0.27347761262397763,-0.541417180358209,0.04143151086935898,0.4249420021691902,0.2267922002706108,0.4602076124567474,29.447909480199723,-0.01155788490675957,48.543162220460566,1.4910690405947509,0.16547074634188608
31,0.2087861018267453,0.31190549930653266,0.41934046915562273,-0.688196539161474,-0.09782911017130226,-0.18019381936976497,-0.00214062802999386,-0.29960958254022496,-0.27939690632848463,0.1642506168509503,-0.02608327481805881,0.0141872913924408,-0.18077587913379664,0.01547888328058249,-0.25841758116289376,0.38625988908167974,1.0021558539140472,0.30573760262788496,1.2208428186587057,0.2964814868487003,0.40100187588095687,0.2862922352565046,0.28066366621202204,0.1747885162791026,0.05088622135271907,0.2766182261469944,0.2877259646071729,0.19168690342604208,0.05285495006225781,0.00453559010166418,0.06265733679080707,0.00322707571348261,0.01561889690816004,0.2129347429693968,0.3877402392085432,0.1318373071221219,0.08145335065464536,0.900961512160261,80.56289486882785,1.5168574769926284,4.822162673660243,0.8204392257064662,89.91940270159272,1.735544441737287,3.5085560642869336,-0.27126128742108846,-0.02697450267180845,0.31910614156908335,-0.00676182646006812,0.23674143237062065,0.4368856967193668,0.4147946237103917,0.2465518050503577,0.06930693069306931,19.502488726236255,-0.08225119974212469,88.23878032272843,1.5430643589710376,0.1388435168110789
32,0.24012873829447437,-0.07736662481819684,-0.15777970140818692,-0.2690674026804626,0.06737428790179531,-0.25998892567601345,-0.2094983263652774,-0.16003342007627516,-0.10651872329050915,-0.05073572182234096,0.03393074054741923,0.01322171363290535,-0.2730174065849105,0.00678379149869498,-0.22560894759075573,0.18808232435185465,1.2642626733796334,0.2581734091300899,1.037225139252303,0.40915809844776985,0.4791694530824141,0.1942042774615214,0.0911632441419091,0.1709186216167348,0.11817055266942508,0.20071534672593871,0.0926311872257072,0.1828357213927142,0.13092324872987185,0.00509304353270254,0.02992965008004133,0.00279721540521278,0.03519246795833468,0.11969076952193534,0.14629094573522955,0.09949623356300628,0.1833399082835905,0.7569727981279086,48.07325933679718,1.8331531471556872,3.2568971551667274,0.827063882906144,36.711383494637545,1.6061156130283571,3.851601693431814,0.17269798001629577,0.1818379652931522,0.5091396705985537,0.2353526620789182,0.1817764570207449,0.29113566354708637,0.23226705633148095,0.3758021259168466,0.6505460218408736,16.7399328391577,-0.06748969240654092,100.69288832972649,1.5406943895345302,0.27122636485749424
33,0.22868577309922625,0.23574997892903668,0.7160104996929539,-0.15415101495611783,-0.02527334752006206,-0.12007669874728084,0.0542427970950165,-0.19600414344598144,0.13997830158525515,0.05890097858563099,-0.05548397008573447,0.00431184287807234,-1.0232344044028447,0.00787832984087773,-0.9661579192474424,0.04856603493827809,2.576634837262311,0.08766741040022408,2.5260803859454892,0.26788914274742465,1.9110019428816991,0.20781435516067387,0.2132947551966369,0.17978707689718218,0.12943417660322545,0.21182650538755143,0.24035717844281637,0.1940138984876741,0.13533839698223102,0.00191670563563313,0.22966164251751955,0.00165497457390286,0.12870516994865988,0.06522529830931323,0.5949923888492742,0.0660502628989958,0.34651325561392016,0.411697067452564,129.559346301097,2.939765869776597,0.9659365211315346,0.45079844291451,240.84873578101275,2.8892114184597752,1.0222981289154998,0.3211805338830759,0.14499613027912772,0.45005820131913166,0.4809785753103643,0.3552548500919129,0.39990125231074014,0.5295743459342102,0.2855163036393747,0.3367003367003367,30.147251762798568,-0.05470932961308443,40.478883741723365,1.5126958518417966,0.45432739352755275
