var,target,only,cat_size,exclude,val
var_high,select_scale,NA,2,NA,1.02872243187137
sl_mean_obs_log_scale,RGR_scale,NA,-2,NA,-0.21588633
area_herb_log_scale,RGR_scale,NA,-2,NA,0.6735803
mean_toxic_conc_scale,RGR_scale,NA,-2,NA,-0.1722888
var_toxic_12_scale,RGR_scale,NA,-2,NA,0
select_scale,RGR_scale,NA,-2,NA,-0.05574631084537446
sl_mean_obs_log_scale,RGR_scale,NA,2,NA,-0.21588633
area_herb_log_scale,RGR_scale,NA,2,NA,0.2858503
mean_toxic_conc_scale,RGR_scale,NA,2,NA,-0.1722888
var_toxic_12_scale,RGR_scale,NA,2,NA,0
select_scale,RGR_scale,NA,2,NA,-0.05574631084537446
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,-2,NA,-0.05087143468518123
var_high,RGR_scale,sl_mean_obs_log_scale,-2,NA,0.04610310179272675
beta_numeric_scale,RGR_scale,area_herb_log_scale,-2,NA,0
var_high,RGR_scale,area_herb_log_scale,-2,NA,1.6044547112232002
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,-2,NA,-0.006859168185218425
var_high,RGR_scale,mean_toxic_conc_scale,-2,NA,0.02800545213062451
beta_numeric_scale,RGR_scale,var_toxic_12_scale,-2,NA,0
var_high,RGR_scale,var_toxic_12_scale,-2,NA,0
beta_numeric_scale,RGR_scale,select_scale,-2,NA,0.005080663930078893
var_high,RGR_scale,select_scale,-2,NA,0.008083683467256887
beta_numeric_scale,RGR_scale,sl_mean_obs_log_scale,2,NA,0.006681293191671989
var_high,RGR_scale,sl_mean_obs_log_scale,2,NA,-0.00827066488311648
beta_numeric_scale,RGR_scale,area_herb_log_scale,2,NA,0
var_high,RGR_scale,area_herb_log_scale,2,NA,-0.1048510854952
beta_numeric_scale,RGR_scale,mean_toxic_conc_scale,2,NA,0.017521953971272212
var_high,RGR_scale,mean_toxic_conc_scale,2,NA,0.13413511555793284
beta_numeric_scale,RGR_scale,var_toxic_12_scale,2,NA,0
var_high,RGR_scale,var_toxic_12_scale,2,NA,0
beta_numeric_scale,RGR_scale,select_scale,2,NA,-0.012978710701130075
var_high,RGR_scale,select_scale,2,NA,-0.04383639257446801
beta_numeric_scale,sl_mean_obs_log_scale,NA,-2,NA,0.3446772658668097
var_high,sl_mean_obs_log_scale,NA,-2,NA,-0.3123696269278837
beta_numeric_scale,area_herb_log_scale,NA,-2,NA,0
var_high,area_herb_log_scale,NA,-2,NA,1.4918804
beta_numeric_scale,mean_toxic_conc_scale,NA,-2,NA,0.08379512594332472
var_high,mean_toxic_conc_scale,NA,-2,NA,-0.34212900529872387
beta_numeric_scale,var_toxic_12_scale,NA,-2,NA,0.24520943311169227
var_high,var_toxic_12_scale,NA,-2,NA,1.3366557909561327
beta_numeric_scale,select_scale,NA,-2,NA,-0.12422758977568
var_high,select_scale,NA,-2,NA,-0.19765458362667998
beta_numeric_scale,sl_mean_obs_log_scale,NA,2,NA,-0.04526882098001572
var_high,sl_mean_obs_log_scale,NA,2,NA,0.0560375420204855
beta_numeric_scale,area_herb_log_scale,NA,2,NA,0
var_high,area_herb_log_scale,NA,2,NA,-0.278119
beta_numeric_scale,mean_toxic_conc_scale,NA,2,NA,-0.21405720054510344
var_high,mean_toxic_conc_scale,NA,2,NA,-1.6386635519189376
beta_numeric_scale,var_toxic_12_scale,NA,2,NA,-0.3949117212952134
var_high,var_toxic_12_scale,NA,2,NA,1.2276201738723977
beta_numeric_scale,select_scale,NA,2,NA,0.3173431604582
