var,only,cat_size,exclude,val
beta_white,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
beta_red,NA,-2,ava_mean_toxin_scale,-0.42902577305349276
beta_white,NA,-2,ava_mean_toxin_scale,0.25798239
var_high,NA,-2,ava_mean_toxin_scale,0.36446660768685374
beta_red,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,0.15947575991860938
beta_white,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,0
var_high,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,0.1454542906904107
beta_red,area_herb_log_scale,2,ava_mean_toxin_scale,0.08998814572036457
beta_white,area_herb_log_scale,2,ava_mean_toxin_scale,0.20340998999999998
var_high,area_herb_log_scale,2,ava_mean_toxin_scale,0.08207618457489199
beta_red,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.08711561103232746
beta_white,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.0545724
var_high,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.3332342859040462
beta_red,var_toxic_12_scale,2,ava_mean_toxin_scale,0
beta_white,var_toxic_12_scale,2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,2,ava_mean_toxin_scale,0
beta_red,NA,2,ava_mean_toxin_scale,0.33657951667130137
beta_white,NA,2,ava_mean_toxin_scale,0.25798239
var_high,NA,2,ava_mean_toxin_scale,0.5607647611693488
beta_red,sl_mean_obs_log_scale,-2,NA,-0.2234442099851624
beta_white,sl_mean_obs_log_scale,-2,NA,0
var_high,sl_mean_obs_log_scale,-2,NA,0.3073378370957283
beta_red,area_herb_log_scale,-2,NA,-0.05711130180288715
beta_white,area_herb_log_scale,-2,NA,0.053352000000000004
var_high,area_herb_log_scale,-2,NA,0.07855412306716858
beta_red,mean_toxic_conc_scale,-2,NA,0.07400077237885141
beta_white,mean_toxic_conc_scale,-2,NA,0.08801902
var_high,mean_toxic_conc_scale,-2,NA,0.1564917559167173
beta_red,var_toxic_12_scale,-2,NA,0
beta_white,var_toxic_12_scale,-2,NA,0
var_high,var_toxic_12_scale,-2,NA,0
beta_red,NA,-2,NA,-0.2065547394091981
beta_white,NA,-2,NA,0.14137102000000001
var_high,NA,-2,NA,0.5423837160796142
beta_red,sl_mean_obs_log_scale,2,NA,0.2332238084076001
beta_white,sl_mean_obs_log_scale,2,NA,0
var_high,sl_mean_obs_log_scale,2,NA,0.1594521678140283
beta_red,area_herb_log_scale,2,NA,0.05961092171719133
beta_white,area_herb_log_scale,2,NA,0.053352000000000004
var_high,area_herb_log_scale,2,NA,0.04075523317322158
beta_red,mean_toxic_conc_scale,2,NA,0.15112811635241952
beta_white,mean_toxic_conc_scale,2,NA,0.08801902
var_high,mean_toxic_conc_scale,2,NA,0.3242758305136572
beta_red,var_toxic_12_scale,2,NA,0
beta_white,var_toxic_12_scale,2,NA,0
var_high,var_toxic_12_scale,2,NA,0
beta_red,NA,2,NA,0.4439628464772109
beta_white,NA,2,NA,0.14137102000000001
var_high,NA,2,NA,0.524483231500907
beta_red,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,-0.2234442099851624
beta_white,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,0
var_high,sl_mean_obs_log_scale,-2,ava_mean_toxin_scale,0.3073378370957283
beta_red,area_herb_log_scale,-2,ava_mean_toxin_scale,-0.05711130180288715
beta_white,area_herb_log_scale,-2,ava_mean_toxin_scale,0.053352000000000004
var_high,area_herb_log_scale,-2,ava_mean_toxin_scale,0.07855412306716858
beta_red,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.07400077237885141
beta_white,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.08801902
var_high,mean_toxic_conc_scale,-2,ava_mean_toxin_scale,0.1564917559167173
beta_red,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
beta_white,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,-2,ava_mean_toxin_scale,0
beta_red,NA,-2,ava_mean_toxin_scale,-0.2065547394091981
beta_white,NA,-2,ava_mean_toxin_scale,0.14137102000000001
var_high,NA,-2,ava_mean_toxin_scale,0.5423837160796142
beta_red,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,0.2332238084076001
beta_white,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,0
var_high,sl_mean_obs_log_scale,2,ava_mean_toxin_scale,0.1594521678140283
beta_red,area_herb_log_scale,2,ava_mean_toxin_scale,0.05961092171719133
beta_white,area_herb_log_scale,2,ava_mean_toxin_scale,0.053352000000000004
var_high,area_herb_log_scale,2,ava_mean_toxin_scale,0.04075523317322158
beta_red,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.15112811635241952
beta_white,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.08801902
var_high,mean_toxic_conc_scale,2,ava_mean_toxin_scale,0.3242758305136572
beta_red,var_toxic_12_scale,2,ava_mean_toxin_scale,0
beta_white,var_toxic_12_scale,2,ava_mean_toxin_scale,0
var_high,var_toxic_12_scale,2,ava_mean_toxin_scale,0
beta_red,NA,2,ava_mean_toxin_scale,0.4439628464772109
beta_white,NA,2,ava_mean_toxin_scale,0.14137102000000001
var_high,NA,2,ava_mean_toxin_scale,0.524483231500907
beta_red,sl_mean_obs_log_scale,-2,NA,-0.29204953368575737
beta_white,sl_mean_obs_log_scale,-2,NA,0
var_high,sl_mean_obs_log_scale,-2,NA,0.16219719909928257
beta_red,area_herb_log_scale,-2,NA,-0.0799887584930534
beta_white,area_herb_log_scale,-2,NA,0.12079095
var_high,area_herb_log_scale,-2,NA,0.04442380860283128
beta_red,mean_toxic_conc_scale,-2,NA,0.0626296045766587
beta_white,mean_toxic_conc_scale,-2,NA,0.035565599999999996
var_high,mean_toxic_conc_scale,-2,NA,0.10991422175896899
beta_red,var_toxic_12_scale,-2,NA,0
beta_white,var_toxic_12_scale,-2,NA,0
var_high,var_toxic_12_scale,-2,NA,0
beta_red,NA,-2,NA,-0.30940868760215207
beta_white,NA,-2,NA,0.15635654999999998
var_high,NA,-2,NA,0.31653522946108287
beta_red,sl_mean_obs_log_scale,2,NA,0.04913788766899044
beta_white,sl_mean_obs_log_scale,2,NA,0
var_high,sl_mean_obs_log_scale,2,NA,0.15299432578468258
beta_red,area_herb_log_scale,2,NA,0.013458260247875699
beta_white,area_herb_log_scale,2,NA,0.12079095
var_high,area_herb_log_scale,2,NA,0.04190325531957979
beta_red,mean_toxic_conc_scale,2,NA,0.12589470162882554
beta_white,mean_toxic_conc_scale,2,NA,0.035565599999999996
var_high,mean_toxic_conc_scale,2,NA,0.294374120269369
beta_red,var_toxic_12_scale,2,NA,0
