b,rss,scale,k,on_toxic,r,ava_toxic
0,-0.2876820724517809,8.3333,0.2,0.9820179820179821,7.368089421468047,0.9727578942486085
5,0,8.3333,0.2,1,6.553542354379838,0.99596
-5,0,8.3333,0.2,0.8961038961038961,8.853675982693611,0.8934769993796641
-5,-0.2876820724517809,8.3333,0.2,0.9100899100899101,8.236253855207345,0.8884475655585452
0,0.2876818224517498,8.3333,0.2,0.7942057942057942,11.780141186092932,0.8073675876111577
5,-0.2876820724517809,8.3333,0.2,0.7852147852147852,12.491138566441174,0.7841872485598008
5,0.2876818224517498,8.3333,0.2,0.8571428571428571,9.718794684491527,0.8679438819911144
0,0,8.3333,0.2,0.7792207792207793,12.33540592273511,0.7935108365531509
5,-0.2876820724517809,25,0.2,0.9090909090909091,25.168628046918467,0.8990815535878399
-5,-0.2876820724517809,25,0.2,0.8441558441558441,27.711129366169413,0.8092970326590971
0,-0.2876820724517809,25,0.2,0.8541458541458542,30.114203863328214,0.8223594306424485
-5,0.2876818224517498,8.3333,0.2,0.8261738261738262,10.512424799544739,0.8458785643311901
5,0,25,0.2,0.916083916083916,24.185063704239717,0.9224529297242307
-5,0,25,0.2,0.8131868131868132,32.646539966304225,0.8135482970039841
0,0,25,0.2,0.7682317682317682,35.08336834578889,0.7806473875780313
5,0.2876818224517498,25,0.2,0.8521478521478522,29.015837128195603,0.8575392141624014
0,0.2876818224517498,25,0.2,0.6313686313686314,37.618314487636475,0.6799495875975309
-5,0.2876818224517498,25,0.2,0.6783216783216783,41.37444125398357,0.7184862168116438
0,-0.2876820724517809,83.333,0.2,0.7232767232767233,94.1669883686562,0.6744814454406501
5,-0.2876820724517809,83.333,0.2,0.8211788211788211,76.54968430263399,0.7969547400494241
-5,-0.2876820724517809,83.333,0.2,0.7162837162837162,102.16637559790436,0.6474704293442032
-5,0,83.333,0.2,0.5664335664335665,115.90347386855967,0.5853893149484956
0,0,83.333,0.2,0.6433566433566433,96.59952837911808,0.6434737633013495
5,0,83.333,0.2,0.7512487512487512,98.4086926581186,0.743091430689153
5,0.2876818224517498,83.333,0.2,0.6933066933066933,94.63663228428385,0.7282954648804081
0,0.2876818224517498,83.333,0.2,0.4745254745254745,121.3454905742615,0.5547996824608639
-5,0.2876818224517498,83.333,0.2,0.5174825174825175,121.12455354594992,0.5648095824415005
5,-0.2876820724517809,8.3333,1,0.6863136863136863,6.50113344838212,0.67113
0,-0.2876820724517809,8.3333,1,0.8931068931068931,6.356866034363853,0.88043
-5,-0.2876820724517809,8.3333,1,0.5334665334665335,6.516329213832462,0.5221
0,0,8.3333,1,0.6233766233766234,6.473598859597339,0.61841
5,0,8.3333,1,9.99000999000999e-4,6.61824043766529,1e-5
-5,0,8.3333,1,0.5494505494505495,6.70722165966147,0.5491857186285461
5,0.2876818224517498,8.3333,1,0.6273726273726273,6.623649340293274,0.63264
0,0.2876818224517498,8.3333,1,0.47352647352647353,6.562164048399536,0.48063
-5,0.2876818224517498,8.3333,1,0.43356643356643354,7.106139270891886,0.4517
0,-0.2876820724517809,25,1,0.6463536463536463,19.47324979024594,0.6327406195090406
5,-0.2876820724517809,25,1,0.2977022977022977,21.157326267264118,0.29320196171080876
-5,-0.2876820724517809,25,1,0.5164835164835165,18.414244217520547,0.49110643697603373
5,0,25,1,0.43356643356643354,19.495709110527027,0.4384432177535631
0,0,25,1,0.5474525474525475,18.833383933155968,0.5489090486761259
-5,0,25,1,0.5564435564435565,20.063077370272943,0.5457640103311872
5,0.2876818224517498,25,1,0.37362637362637363,19.753128296092786,0.39492673587255084
0,0.2876818224517498,25,1,0.3956043956043956,18.775398444214396,0.4119294739073405
-5,0.2876818224517498,25,1,0.3196803196803197,19.105179734610704,0.3467347099297216
0,-0.2876820724517809,83.333,1,0.5544455544455544,56.66384529130883,0.507664208524066
-5,-0.2876820724517809,83.333,1,0.5594405594405595,59.40424366378567,0.5155001291152869
5,-0.2876820724517809,83.333,1,0.6163836163836164,63.64912929976833,0.5829928566001509
5,0,83.333,1,0.3936063936063936,58.76593425965051,0.39120332218096476
0,0,83.333,1,0.43356643356643354,57.597335869842574,0.44049606715957884
-5,0,83.333,1,0.4825174825174825,58.91831396044204,0.49378617033498245
5,0.2876818224517498,83.333,1,0.2517482517482518,64.27576021132786,0.2902573123323042
0,0.2876818224517498,83.333,1,0.4085914085914086,55.82982959464282,0.4389468139801024
5,-0.2876820724517809,8.3333,5,0.5344655344655345,4.0972655942657425,0.53604
-5,0.2876818224517498,83.333,1,0.37662337662337664,57.8979913000457,0.4429139297530329
0,-0.2876820724517809,8.3333,5,0.055944055944055944,1.856531236469887,0.0549
-5,-0.2876820724517809,8.3333,5,0.024975024975024976,1.4406420793757788,0.0243
5,0,8.3333,5,0.005994005994005994,1.4229838942023623,0.00491
-5,0,8.3333,5,0.1038961038961039,1.8756131794158684,0.09984
0,0,8.3333,5,0.17882117882117882,2.439724882559369,0.17639
5,0.2876818224517498,8.3333,5,0.014985014985014986,1.4421377485460178,0.01884
0,0.2876818224517498,8.3333,5,0.002997002997002997,1.3251614351912238,0.00427
-5,0.2876818224517498,8.3333,5,0.05194805194805195,1.7466724855014213,0.05401
5,-0.2876820724517809,25,5,0.09290709290709291,5.634521951454004,0.09754613115562234
0,-0.2876820724517809,25,5,0.16783216783216784,6.405994879951436,0.16222267290858391
-5,-0.2876820724517809,25,5,0.08291708291708291,5.3644453021707,0.07985
0,0,25,5,0.013986013986013986,4.340187097907817,0.01218
5,0,25,5,0.04695304695304695,4.5939840824501,0.04795
0,0.2876818224517498,25,5,0.04395604395604396,4.873473946871997,0.04894
-5,0,25,5,0.12187812187812187,5.541518207590729,0.11366
5,0.2876818224517498,25,5,0.002997002997002997,4.237858028569474,0.00268
-5,0.2876818224517498,25,5,0.01898101898101898,4.189944506467387,0.017490000000000002
5,-0.2876820724517809,83.333,5,0.16683316683316685,19.376161114136117,0.14962318923450554
0,-0.2876820724517809,83.333,5,0.15284715284715283,18.310312149377587,0.13795032767401494
5,0,83.333,5,0.03496503496503497,15.044782472192232,0.03445582227180001
-5,-0.2876820724517809,83.333,5,0.2017982017982018,22.656417339545957,0.17209722046218057
5,0.2876818224517498,83.333,5,0.04895104895104895,14.7577684736918,0.058881233722679976
0,0,83.333,5,0.16483516483516483,21.14421445005748,0.1657365934632678
-5,0,83.333,5,0.1978021978021978,20.69711039161284,0.1883756338939412
0,0.2876818224517498,83.333,5,0.07492507492507493,15.829618050526667,0.08516210787740365
-5,0.2876818224517498,83.333,5,0.11388611388611389,20.251199344623377,0.1424043109720756
5,-0.2876820724517809,8.3333,0.2,0.964035964035964,7.186732422221879,0.9582701381158524
0,-0.2876820724517809,8.3333,0.2,0.9310689310689311,8.750086026772848,0.9123
-5,-0.2876820724517809,8.3333,0.2,0.945054945054945,7.380789928093744,0.932882467294764
0,0,8.3333,0.2,0.9400599400599401,9.214792482281952,0.9448730140014657
5,0,8.3333,0.2,0.997002997002997,6.808330747719221,0.99535
