rss,k,period,rss_true,k_true,scenario_id
0.35298385755960626,1.6123619440387569,3,0,3,2
1.422584626023998,1.5539592014431034,3,1.0986122886681098,1,4
-0.038717102650951685,2.6893685390796738,1,0,3,1
1.0812999775291192,0.9115015089877353,1,1.0986122886681098,1,3
0.40935375039982697,1.6178877877510347,3,0,3,2
1.3163699220913336,1.1987807854545212,3,1.0986122886681098,1,4
-0.0530768855885629,3.2132181045802355,1,0,3,1
1.1483936432264534,0.868687615553268,1,1.0986122886681098,1,3
1.2473042671039287,0.9501422586332654,3,1.0986122886681098,1,4
0.4211805140370189,1.7433436271853138,3,0,3,2
0.011919935453536886,2.941862913760385,1,0,3,1
0.5092373574643937,1.5829153580058757,3,0,3,2
1.0952226038494748,1.1312403813154726,1,1.0986122886681098,1,3
1.3736771297330408,1.0264048695631491,3,1.0986122886681098,1,4
1.0926517687582369,1.1897955386931658,1,1.0986122886681098,1,3
0.022188225212544523,3.0890166950580884,1,0,3,1
0.4214130061893396,1.723147502894907,3,0,3,2
1.3107307517809441,0.881210353748384,3,1.0986122886681098,1,4
0.024258114125963372,2.8296748162601175,1,0,3,1
1.1580209148447445,1.0419717989948367,1,1.0986122886681098,1,3
0.5020648535511198,1.8445542375994886,3,0,3,2
1.2698260148684983,0.8671929555836678,3,1.0986122886681098,1,4
-0.06597488757162846,2.98862799051648,1,0,3,1
1.0698514440518971,1.0450840928843803,1,1.0986122886681098,1,3
0.39596060617737205,1.9708455293121696,3,0,3,2
1.4447121630650108,0.9352052469944728,3,1.0986122886681098,1,4
0.3829950077642587,1.541518637135972,3,0,3,2
0.9741770510557436,0.9944536892764698,1,1.0986122886681098,1,3
-0.039570007374216086,3.1101392904889478,1,0,3,1
1.2750480140900318,0.9743890373161452,3,1.0986122886681098,1,4
0.10685630524191585,2.7431444411425723,1,0,3,1
1.1351753104233808,0.8762042720401377,1,1.0986122886681098,1,3
0.5115838701146762,1.804918366809048,3,0,3,2
1.2230183465048379,0.9931548938564168,3,1.0986122886681098,1,4
0.050514222939123554,2.988768681018875,1,0,3,1
1.043410933667184,1.07449480115657,1,1.0986122886681098,1,3
0.28019616223949717,2.109574653692416,3,0,3,2
1.3819139555295894,1.1051950123675018,3,1.0986122886681098,1,4
0.38262332328013055,1.736393583259091,3,0,3,2
-0.07715873494462062,3.352837257255688,1,0,3,1
1.1194310198821094,1.1078959655876632,1,1.0986122886681098,1,3
1.2920370600558697,0.8756848659313925,3,1.0986122886681098,1,4
0.043143173716293115,2.885365136999479,1,0,3,1
1.1260034305645028,1.0502329832512256,1,1.0986122886681098,1,3
0.49121268781635047,1.626547398263937,3,0,3,2
