b,rss,scale,k,on_toxic,r,ava_toxic
0,0.2876818224517498,8.3333,0.2,0.9110889110889112,8.728404573985777,0.9169959927261884
-5,0,8.3333,0.2,0.9470529470529472,8.032284519518363,0.9381333377333204
5,0,8.3333,0.2,0.6393606393606394,15.178501340881663,0.6415776140638111
5,-0.2876820724517809,8.3333,0.2,0.9690309690309692,7.468614984829193,0.97339
-5,-0.2876820724517809,8.3333,0.2,0.9150849150849152,8.909218741369711,0.9169413421413634
5,0.2876818224517498,8.3333,0.2,0.8081918081918081,10.802580651151825,0.8142055656099828
0,0,8.3333,0.2,0.913086913086913,8.417081227074727,0.9048602333666989
0,-0.2876820724517809,8.3333,0.2,0.9590409590409592,8.188134432695849,0.9515700004895888
5,-0.2876820724517809,25,0.2,0.906093906093906,25.015533794174207,0.885994054203138
-5,0.2876818224517498,8.3333,0.2,0.8841158841158842,9.73293040249748,0.8858
0,0,25,0.2,0.7792207792207793,34.5821608343742,0.7730277982206206
-5,0,25,0.2,0.7662337662337663,35.45880740146848,0.7636882327067802
-5,-0.2876820724517809,25,0.2,0.7942057942057942,30.479113915154997,0.7854326644100379
0,-0.2876820724517809,25,0.2,0.8901098901098901,26.50360286988089,0.866192376178946
5,0,25,0.2,0.8651348651348651,27.420901775224515,0.8661235745904343
5,0.2876818224517498,25,0.2,0.8041958041958042,32.277845724236045,0.8190249048284286
0,0.2876818224517498,25,0.2,0.6233766233766234,40.76353603599696,0.6809241916551666
-5,0.2876818224517498,25,0.2,0.6233766233766234,47.004092855459696,0.677890350369429
5,-0.2876820724517809,83.333,0.2,0.7412587412587412,95.31825417522866,0.7063486132039097
0,0,83.333,0.2,0.5924075924075924,111.13997698912152,0.6062596764271331
0,-0.2876820724517809,83.333,0.2,0.7282717282717283,83.35521143182189,0.6670613814230127
5,0,83.333,0.2,0.6333666333666333,103.37155224278207,0.6451185885847477
-5,-0.2876820724517809,83.333,0.2,0.6503496503496503,95.60162968957464,0.6183164329590903
-5,0,83.333,0.2,0.5834165834165834,105.1562929048428,0.5891774753219722
5,0.2876818224517498,83.333,0.2,0.7232767232767233,89.83581588512368,0.7573698961360608
0,-0.2876820724517809,8.3333,1,0.7372627372627373,6.736199761291773,0.7222999999999999
0,0.2876818224517498,83.333,0.2,0.5164835164835165,118.45952710810538,0.5711624940369593
-5,0.2876818224517498,83.333,0.2,0.4955044955044955,119.69286733468992,0.5711420380716838
5,-0.2876820724517809,8.3333,1,0.8691308691308691,6.513314390251954,0.8571193701935412
5,0,8.3333,1,0.8671328671328671,6.791286721398819,0.86693
0,0,8.3333,1,0.5224775224775224,6.787043992606779,0.52944
-5,-0.2876820724517809,8.3333,1,0.4125874125874126,6.861255100054044,0.4032
-5,0,8.3333,1,0.4375624375624376,6.2411048677904715,0.4472867702612616
5,0.2876818224517498,8.3333,1,0.6353646353646354,6.713568075570679,0.64485
0,0.2876818224517498,8.3333,1,0.4065934065934066,6.38168570379995,0.40604
0,-0.2876820724517809,25,1,0.6603396603396603,19.143420688669096,0.6338973335674983
5,-0.2876820724517809,25,1,0.5844155844155844,20.0158476812016,0.5762283176751094
-5,-0.2876820724517809,25,1,0.5804195804195804,18.412289258925657,0.5548079269239989
-5,0.2876818224517498,8.3333,1,0.2647352647352647,6.868372095125738,0.28072
5,0,25,1,0.6383616383616384,19.602630931229783,0.6222371839295074
0,0,25,1,0.4905094905094905,19.28868053692311,0.49142470789316806
-5,0,25,1,0.4595404595404595,19.178198878730413,0.4779301309579651
5,0.2876818224517498,25,1,0.1888111888111888,19.553856705880765,0.21115112595527824
0,0.2876818224517498,25,1,0.5024975024975025,20.02636568669055,0.517365393795081
5,-0.2876820724517809,83.333,1,0.5844155844155844,61.171412348190145,0.5596549883460435
0,-0.2876820724517809,83.333,1,0.5084915084915085,58.44808977914963,0.4811922268686879
-5,0.2876818224517498,25,1,0.4195804195804196,20.24409759571862,0.4546517651816238
-5,-0.2876820724517809,83.333,1,0.6043956043956044,61.36041417623615,0.5535924002227212
5,0,83.333,1,0.4855144855144855,57.98170787930069,0.4690063708424655
0,0,83.333,1,0.4695304695304695,57.12878688864796,0.4778940373435048
-5,0,83.333,1,0.5544455544455544,61.78069386003649,0.5410470472869213
5,0.2876818224517498,83.333,1,0.22077922077922077,59.13186243803354,0.25572077505185015
-5,0.2876818224517498,83.333,1,0.4095904095904096,61.88688108817936,0.46690873329108656
0,0.2876818224517498,83.333,1,0.3856143856143856,62.52066604389185,0.4511666402848168
5,-0.2876820724517809,8.3333,5,0.00199800199800199,1.4415167884737503,0.00111
0,-0.2876820724517809,8.3333,5,0.00299700299700299,1.3921001014490513,0.00209
-5,-0.2876820724517809,8.3333,5,0.03296703296703297,1.4685364692606837,0.02912
5,0,8.3333,5,9.99000999000999e-4,1.2652568119917191,8.6e-4
0,0,8.3333,5,0.14685314685314685,2.2381633162225087,0.14631
-5,0,8.3333,5,0.04695304695304695,1.5814273389147593,0.04725999999999999
0,0.2876818224517498,8.3333,5,0.04095904095904096,1.6778957990098131,0.04927
5,0.2876818224517498,8.3333,5,9.99000999000999e-4,1.4025954019954874,0
-5,0.2876818224517498,8.3333,5,0.05494505494505494,1.646644006125872,0.05486
5,-0.2876820724517809,25,5,0.7112887112887113,15.103701105352028,0.7009770700325966
0,-0.2876820724517809,25,5,0.03896103896103896,4.672601152710704,0.03843
-5,-0.2876820724517809,25,5,0.21178821178821175,6.841375888793008,0.1879773638835521
5,0,25,5,0.06393606393606394,4.765362997230389,0.06370774263703996
0,0,25,5,0.07292707292707293,5.077165076824725,0.07496
-5,0,25,5,0.13986013986013987,5.590754149381998,0.1385335604063942
5,0.2876818224517498,25,5,0.00299700299700299,3.8357980821827,0.00293
-5,0.2876818224517498,25,5,0.02297702297702297,4.46714854636235,0.02956
0,0.2876818224517498,25,5,0.03896103896103896,4.776213596803705,0.04665
5,-0.2876820724517809,83.333,5,0.1008991008991009,17.666746712023244,0.08328371603157522
0,-0.2876820724517809,83.333,5,0.29270729270729273,23.551423499937663,0.2646991915229343
-5,-0.2876820724517809,83.333,5,0.2007992007992008,23.40678815018468,0.18427428974940505
5,0,83.333,5,0.04095904095904096,15.095502794177367,0.04407050491828196
-5,0,83.333,5,0.17182817182817184,21.01540663668059,0.17989373002551054
0,0,83.333,5,0.23376623376623376,20.756602387740692,0.21272456254973335
0,0.2876818224517498,83.333,5,0.12687312687312688,20.193835089452055,0.13094997210779075
5,0.2876818224517498,83.333,5,0.03196803196803197,14.170460383069662,0.02988278360759518
-5,0.2876818224517498,83.333,5,0.11588411588411587,17.978566672247126,0.1363349520692918
5,-0.2876820724517809,8.3333,0.2,0.978021978021978,7.541519272258222,0.975880101010101
-5,-0.2876820724517809,8.3333,0.2,0.93006993006993,8.217126721092729,0.9135668193313956
0,-0.2876820724517809,8.3333,0.2,0.93006993006993,7.948253750573554,0.918571577319164
5,0,8.3333,0.2,0.8651348651348651,9.246064434341108,0.8626885177085305
-5,0,8.3333,0.2,0.913086913086913,8.557780249382096,0.90925367801697
5,0.2876818224517498,8.3333,0.2,0.9690309690309692,7.47634781876243,0.9747345454545454
0,0,8.3333,0.2,0.8661338661338661,10.085921291526418,0.871443394950011
0,0.2876818224517498,8.3333,0.2,0.8621378621378621,9.355604425397654,0.8787447748971584
-5,0.2876818224517498,8.3333,0.2,0.8701298701298701,10.007746822326949,0.8747025699849316
5,-0.2876820724517809,25,0.2,0.945054945054945,22.22603680827248,0.918155216999308
-5,-0.2876820724517809,25,0.2,0.8901098901098901,25.83284584000587,0.8394700000968941
0,-0.2876820724517809,25,0.2,0.8391608391608392,28.529535386752823,0.7983581365473
5,0,25,0.2,0.948051948051948,22.294166517794352,0.947734896219071
-5,0,25,0.2,0.7432567432567433,36.04593511664364,0.7427066357872361
0,0,25,0.2,0.7602397602397603,34.41792878989583,0.755385017364438
5,0.2876818224517498,25,0.2,0.9410589410589412,21.91381732027033,0.9483563255243608
0,0.2876818224517498,25,0.2,0.7102897102897103,37.78812699713633,0.7503160456010011
-5,0.2876818224517498,25,0.2,0.6523476523476524,40.23961151792875,0.6986708841626803
5,-0.2876820724517809,83.333,0.2,0.7982017982017982,88.89456947824445,0.7583528736351548
0,-0.2876820724517809,83.333,0.2,0.7232767232767233,89.58476573019774,0.6694471486749409
5,0,83.333,0.2,0.6803196803196803,96.57538026856037,0.6793412497830864
-5,-0.2876820724517809,83.333,0.2,0.6533466533466533,105.0410593068904,0.6081039026940057
0,0,83.333,0.2,0.7032967032967034,87.22498223566447,0.6972635517540655
-5,0,83.333,0.2,0.6423576423576424,106.93827107720388,0.6092728537437618
5,0.2876818224517498,83.333,0.2,0.7042957042957043,96.26819774066206,0.7518181220756327
0,0.2876818224517498,83.333,0.2,0.5344655344655345,119.2537645789804,0.5728515470302384
-5,0.2876818224517498,83.333,0.2,0.4925074925074925,120.9624005159971,0.5551976437257228
